1 Махнівський провулок                                               	1-й Махнівський провулок
Дмитра Майбороди вулиця                                              	вулиця Дмитра Майбороди
Дмитра Марковича вулиця                                              	вулиця Дмитра Марковича
Дмитра Марковича провулок                                            	провулок Дмитра Марковича
Дмитра Михайловського вулиця                                         	вулиця Дмитра Михайловського
Дмитра Михайловського провулок                                       	провулок Дмитра Михайловського
Дмитра Франішина вулиця                                              	вулиця Дмитра Франішина
Дмитра Фурманова вулиця                                              	вулиця Дмитра Фурманова
Дмитра Шкарбуна вулиця                                               	вулиця Дмитра Шкарбуна
Добрих Сусідів вулиця                                                	вулиця Добрих Сусідів
Добровольців вулиця                                                  	вулиця Добровольців
Добролюбова вулиця                                                   	вулиця Добролюбова
Добролюбова провулок                                                 	провулок Добролюбова
Добросусідства провулок                                              	провулок Добросусідства
Доватора вулиця                                                      	вулиця Доватора
Довбуша вулиця                                                       	вулиця Довбуша
Довженка вулиця                                                      	вулиця Довженка
Довженка провулок                                                    	провулок Довженка
Докучаєва вулиця                                                     	вулиця Докучаєва
Дорошенка вулиця                                                     	вулиця Дорошенка
Достоєвського вулиця                                                 	вулиця Достоєвського
Драй-Хмари вулиця                                                    	вулиця Драй-Хмари
Дружби вулиця                                                        	вулиця Дружби
Дубініна вулиця                                                      	вулиця Дубініна
Думанського вулиця                                                   	вулиця Думанського
Дундича вулиця                                                       	вулиця Дундича
Діонісія Міклера вулиця                                              	вулиця Діонісія Міклера
Діонісія Міклера провулок                                            	провулок Діонісія Міклера
Едельштейна вулиця                                                   	вулиця Едельштейна
Енгельса вулиця                                                      	вулиця Енгельса
Енгельса проїзд                                                      	проїзд Енгельса
Енергетиків вулиця                                                   	вулиця Енергетиків
Енергетиків провулок                                                 	провулок Енергетиків
Ентузіастів вулиця                                                   	вулиця Ентузіастів
Жанова вулиця                                                        	вулиця Жанова
Жарчинського вулиця                                                  	вулиця Жарчинського
Жданова вулиця                                                       	вулиця Жданова
Ждерельна вулиця                                                     	Джерельна вулиця
Житлове Містечко вулиця                                              	вулиця Житлове Містечко
Жукова вулиця                                                        	вулиця Жукова
Жукова провулок                                                      	провулок Жукова
Жуковського вулиця                                                   	вулиця Жуковського
Жуковського провулок                                                 	провулок Жуковського
Журавльова вулиця                                                    	вулиця Журавльова
Забаштанського вулиця                                                	вулиця Забаштанського
Заболотного вулиця                                                   	вулиця Заболотного
Заболотного провулок                                                 	провулок Заболотного
Завойського вулиця                                                   	вулиця Завойського
Загребельного вулиця                                                 	вулиця Загребельного
Задворного вулиця                                                    	вулиця Задворного
Залiзнична вулиця                                                    	Залізнична вулиця
Заливанського вулиця                                                 	вулиця Заливанського
Залізнічна вулиця                                                    	Залізнична вулиця
Заньковецької вулиця                                                 	вулиця Заньковецької
Заньковецької провулок                                               	провулок Заньковецької
Запорізького Козацтва вулиця                                         	вулиця Запорізького Козацтва
Заріччя вулиця                                                       	вулиця Заріччя
Затонського вулиця                                                   	вулиця Затонського
Захандревича вулиця                                                  	вулиця Захандревича
Захарчука вулиця                                                     	вулиця Захарчука
Захисників Вітчизни вулиця                                           	вулиця Захисників Вітчизни
Захисників України вулиця                                            	вулиця Захисників України
Захисників неба вулиця                                               	вулиця Захисників Неба
Збишка вулиця                                                        	вулиця Збишка
Зв'язківців провулок                                                 	провулок Звʼязківців
Землевпорядників проїзд                                              	проїзд Землевпорядників
Злагоди вулиця                                                       	вулиця Злагоди
Зодчих вулиця                                                        	вулиця Зодчих
Зорге вулиця                                                         	вулиця Зорге
Зоря провулок                                                        	провулок Зоря
Зої Космодем’янської вулиця                                          	вулиця Зої Космодемʼянської
Зубриліна вулиця                                                     	вулиця Зубриліна
Зубриліна провулок                                                   	провулок Зубриліна
Зубриліна проїзд                                                     	проїзд Зубриліна
Зіндельса вулиця                                                     	вулиця Зіндельса
Йоахима Волошиновського вулиця                                       	вулиця Йоахима Волошиновського
Йосипа Косюка вулиця                                                 	вулиця Йосипа Косюка
Кавуна вулиця                                                        	вулиця Кавуна
Казимира Малевича вулиця                                             	вулиця Казимира Малевича
Казішвілі вулиця                                                     	вулиця Казішвілі
Калашника вулиця                                                     	вулиця Калашника
Калинова провулок                                                    	провулок Калинова
Калініна вулиця                                                      	вулиця Калініна
Калініна провулок                                                    	провулок Калініна
Каменярів вулиця                                                     	вулиця Каменярів
Камянка вулиця                                                       	вулиця Камянка
Кам’янецький провулок                                                	Камʼянецький провулок
Кам’янка вулиця                                                      	вулиця Камʼянка
Карбишева вулиця                                                     	вулиця Карбишева
Карбишева провулок                                                   	провулок Карбишева
Карбишева тупик                                                      	тупик Карбишева
Карла Лібкнехта вулиця                                               	вулиця Карла Лібкнехта
Карла Лібкнехта провулок                                             	провулок Карла Лібкнехта
Карла Маркса вулиця                                                  	вулиця Карла Маркса
Карла Маркса провулок                                                	провулок Карла Маркса
Кармалюка вулиця                                                     	вулиця Кармалюка
Кармелюка вулиця                                                     	вулиця Кармелюка
Кароля Вишневецького вулиця                                          	вулиця Кароля Вишневецького
Карпенка вулиця                                                      	вулиця Карпенка
Карпенка-Карого вулиця                                               	вулиця Карпенка-Карого
Картвелішвілі вулиця                                                 	вулиця Картвелішвілі
Кар’єрна вулиця                                                      	Карʼєрна вулиця
Кар’єрний провулок                                                   	Карʼєрний провулок
Катукова вулиця                                                      	вулиця Катукова
Катукова провулок                                                    	провулок Катукова
Каховка вулиця                                                       	вулиця Каховка
Каховського вулиця                                                   	вулиця Каховського
Каховського провулок                                                 	провулок Каховського
Кашевича вулиця                                                      	вулиця Кашевича
Квятека вулиця                                                       	вулиця Квятека
Квітки Цісик вулиця                                                  	вулиця Квітки Цісик
Кемпа вулиця                                                         	вулиця Кемпа
Кибальчича вулиця                                                    	вулиця Кибальчича
Килимника вулиця                                                     	вулиця Килимника
Кириленка вулиця                                                     	вулиця Кириленка
Київська Новобудова вулиця                                           	вулиця Київська Новобудова
Клари Цеткін вулиця                                                  	вулиця Клари Цеткін
Климентія Домінчена вулиця                                           	вулиця Климентія Домінчена
Княгині Ольги вулиця                                                 	вулиця Княгині Ольги
Княгині Щербатової вулиця                                            	вулиця Княгині Щербатової
Князя Володимира вулиця                                              	вулиця Князя Володимира
Князя Святослава вулиця                                              	вулиця Князя Святослава
Князів Коріатовичів вулиця                                           	вулиця Князів Коріатовичів
Князів Коріатовичів провулок                                         	провулок Князів Коріатовичів
Князів Острозьких вулиця                                             	вулиця Князів Острозьких
Кобзаря вулиця                                                       	вулиця Кобзаря
Кобринця вулиця                                                      	вулиця Кобринця
Ковалівка вулиця                                                     	вулиця Ковалівка
Ковпака вулиця                                                       	вулиця Ковпака
Ковпака провулок                                                     	провулок Ковпака
Кожедуба вулиця                                                      	вулиця Кожедуба
Козацький Шлях вулиця                                                	вулиця Козацький Шлях
Козаченка вулиця                                                     	вулиця Козаченка
Козицького вулиця                                                    	вулиця Козицького
Козоріза вулиця                                                      	вулиця Козоріза
Комарова вулиця                                                      	вулиця Комарова
Комарова провулок                                                    	провулок Комарова
Комонавтів вулиця                                                    	вулиця Космонавтів
Комунарів вулиця                                                     	вулиця Комунарів
Кондратюка вулиця                                                    	вулиця Кондратюка
Кондрацького вулиця                                                  	вулиця Кондрацького
Кондрацького провулок                                                	провулок Кондрацького
Константиновича вулиця                                               	вулиця Константиновича
Конєва вулиця                                                        	вулиця Конєва
Копайгородського вулиця                                              	вулиця Копайгородського
Коперника вулиця                                                     	вулиця Коперника
Копитка вулиця                                                       	вулиця Копитка
Корнійчука вулиця                                                    	вулиця Корнійчука
Короленка вулиця                                                     	вулиця Короленка
Корольова вулиця                                                     	вулиця Корольова
Корольова провулок                                                   	провулок Корольова
Корольова проїзд                                                     	проїзд Корольова
Космонавта Комарова вулиця                                           	вулиця Космонавта Комарова
Космонавтів вулиця                                                   	вулиця Космонавтів
Космонавтів проспект                                                 	проспект Космонавтів
Костецького вулиця                                                   	вулиця Костецького
Костя Широцького вулиця                                              	вулиця Костя Широцького
Костя Широцького провулок                                            	провулок Костя Широцького
Костянтина Василенка вулиця                                          	вулиця Костянтина Василенка
Котляревського вулиця                                                	вулиця Котляревського
Котляревського провулок                                              	провулок Котляревського
Котовського вулиця                                                   	вулиця Котовського
Котовського провулок                                                 	провулок Котовського
Котовсього вулиця                                                    	вулиця Котовсього
Коцюбинского вулиця                                                  	вулиця Коцюбинского
Коцюбинського вулиця                                                 	вулиця Коцюбинського
Коцюбинського провулок                                               	провулок Коцюбинського
Коцюбинського проспект                                               	проспект Коцюбинського
Коцюбінського вулиця                                                 	вулиця Коцюбінського
Кошового вулиця                                                      	вулиця Кошового
Кравченка вулиця                                                     	вулиця Кравченка
Кравчика вулиця                                                      	вулиця Кравчика
Красіна вул.                                                         	вулиця Красіна
Красіна вулиця                                                       	вулиця Красіна
Кривицького вулиця                                                   	вулиця Кривицького
Кривоноса вулиця                                                     	вулиця Кривоноса
Криворучка вулиця                                                    	вулиця Криворучка
Кривошеіна вулиця                                                    	вулиця Кривошеіна
Крилова вулиця                                                       	вулиця Крилова
Крилова провулок                                                     	провулок Крилова
Кропивницького вулиця                                                	вулиця Кропивницького
Кропоткіна вулиця                                                    	вулиця Кропоткіна
Крупської вулиця                                                     	вулиця Крупської
Крутнів Яр вулиця                                                    	вулиця Крутнів Яр
Крутнів Яр провулок                                                  	провулок Крутнів Яр
Ксаверівка вулиця                                                    	вулиця Ксаверівка
Кузнецова вулиця                                                     	вулиця Кузнецова
Кузнецова провулок                                                   	провулок Кузнецова
Кузнєцова вулиця                                                     	вулиця Кузнєцова
Куйбишева вулиця                                                     	вулиця Куйбишева
Куйбишева провулок                                                   	провулок Куйбишева
Куликівського вулиця                                                 	вулиця Куликівського
Куркудимівка вулиця                                                  	вулиця Куркудимівка
Кут вулиця                                                           	вулиця Кут
Кутузова вулиця                                                      	вулиця Кутузова
Кутузова провулок                                                    	провулок Кутузова
Кутузова тупик                                                       	тупик Кутузова
Куцого вулиця                                                        	вулиця Куцого
Кушніра вулиця                                                       	вулиця Кушніра
Кірова вулиця                                                        	вулиця Кірова
Кірова провулок                                                      	провулок Кірова
Л. Українки вулиця                                                   	вулиця Л. Українки
Лавреньова вулиця                                                    	вулиця Лавреньова
Лагоди вулиця                                                        	вулиця Лагоди
Лазо вулиця                                                          	вулиця Лазо
Лебединського вулиця                                                 	вулиця Лебединського
Лева Семполовського вулиця                                           	вулиця Лева Семполовського
Лева Симиренка вулиця                                                	вулиця Лева Симиренка
Левада вулиця                                                        	вулиця Левада
Левицького вулиця                                                    	вулиця Левицького
Левка Лук'яненка провулок                                            	провулок Левка Лукʼяненка
Левка Лук’яненка вулиця                                              	вулиця Левка Лукʼяненка
Левка Лук’яненка провулок                                            	провулок Левка Лукʼяненка
Левка Симиренка вулиця                                               	вулиця Левка Симиренка
Лемі Українки вулиця                                                 	вулиця Лесі Українки
Ленських Подій вулиця                                                	вулиця Ленських Подій
Ленських Подій провулок                                              	провулок Ленських Подій
Леніга вулиця                                                        	вулиця Леніга
Леніна вулиця                                                        	вулиця Леніна
Леніна провулок                                                      	провулок Леніна
Леонтовича вулиця                                                    	вулиця Леонтовича
Леонтовича провулок                                                  	провулок Леонтовича
Леонтовіча вулиця                                                    	вулиця Леонтовіча
Леоніда Глібова вулиця                                               	вулиця Леоніда Глібова
Леоніда Каденюка вулиця                                              	вулиця Леоніда Каденюка
Леоніда Каденюка провулок                                            	провулок Леоніда Каденюка
Леоніда Кеденюка вулиця                                              	вулиця Леоніда Кеденюка
Леоніда Красіна вулиця                                               	вулиця Леоніда Красіна
Леоніда Мосендза вулиця                                              	вулиця Леоніда Мосендза
Леоніда Ординського вулиця                                           	вулиця Леоніда Ординського
Леоніда Полянського вулиця                                           	вулиця Леоніда Полянського
Лермонтова вулиця                                                    	вулиця Лермонтова
Лермонтова провулок                                                  	провулок Лермонтова
Лермонтова тупик                                                     	тупик Лермонтова
Леся Курбаса вулиця                                                  	вулиця Леся Курбаса
Лесі Українки вулиця                                                 	вулиця Лесі Українки
Лесі Українки провулок                                               	провулок Лесі Українки
Лещенка вулиця                                                       	вулиця Лещенка
Лиса Гора вулиця                                                     	вулиця Лиса Гора
Лисенка вулиця                                                       	вулиця Лисенка
Лисенка провулок                                                     	провулок Лисенка
Литвиненка вулиця                                                    	вулиця Литвиненка
Ломоносова вулиця                                                    	вулиця Ломоносова
Луначарського вулиця                                                 	вулиця Луначарського
Льва Толстого вулиця                                                 	вулиця Льва Толстого
Льва Толстого провулок                                               	провулок Льва Толстого
Любенка вулиця                                                       	вулиця Любенка
Любомира Гузара вулиця                                               	вулиця Любомира Гузара
Люксембург вулиця                                                    	вулиця Люксембург
Лютневої Революції вулиця                                            	вулиця Лютневої Революції
Лютневої Революції провулок                                          	провулок Лютневої Революції
Лялі Ратушної вулиця                                                 	вулиця Лялі Ратушної
Лялі Ратушної провулок                                               	провулок Лялі Ратушної
Лєрмонтова вулиця                                                    	вулиця Лєрмонтова
Лєрмонтова провулок                                                  	провулок Лєрмонтова
Ліверпуль площа                                                      	площа Ліверпуль
Лізи Чайкіної вулиця                                                 	вулиця Лізи Чайкіної
Лікаря Маєвського вулиця                                             	вулиця Лікаря Маєвського
Ліни Костенко вулиця                                                 	вулиця Ліни Костенко
Ліпіна вулиця                                                        	вулиця Ліпіна
Лісок вулиця                                                         	вулиця Лісок
М. Вакалюк-Дорошенко вулиця                                          	вулиця М. Вакалюк-Дорошенко
М. Грушевського вулиця                                               	вулиця М. Грушевського
М. Зарудного провулок                                                	провулок М. Зарудного
М. Кривоноса вулиця                                                  	вулиця М. Кривоноса
М. Мандибури вулиця                                                  	вулиця М. Мандибури
М.Демченка вулиця                                                    	вулиця М. Демченка
М.Рильського вулиця                                                  	вулиця М. Рильського
Мазурівка вулиця                                                     	вулиця Мазурівка
Майдан вулиця                                                        	вулиця Майдан
Макаренка вулиця                                                     	вулиця Макаренка
Макаренка провулок                                                   	провулок Макаренка
Маковійчука вулиця                                                   	вулиця Маковійчука
Максима Залізняка вулиця                                             	вулиця Максима Залізняка
Максима Кривоноса вулиця                                             	вулиця Максима Кривоноса
Максима Рильського вулиця                                            	вулиця Максима Рильського
Максима Рильського провулок                                          	провулок Максима Рильського
Максима Чорнокнижного вулиця                                         	вулиця Максима Чорнокнижного
Максима Шаповала вулиця                                              	вулиця Максима Шаповала
Максима Шимка вулиця                                                 	вулиця Максима Шимка
Максимовича вулиця                                                   	вулиця Максимовича
Малиновського вулиця                                                 	вулиця Малиновського
Малишка вулиця                                                       	вулиця Малишка
Маліванчука вулиця                                                   	вулиця Маліванчука
Маліновського вулиця                                                 	вулиця Маліновського
Маліновського провулок                                               	провулок Маліновського
Маміна-Сибіряка бульвар                                              	бульвар Маміна-Сибіряка
Маміна-Сибіряка вулиця                                               	вулиця Маміна-Сибіряка
Марка Вовчка вулиця                                                  	вулиця Марка Вовчка
Марко Вовчок бульвар                                                 	бульвар Марко Вовчок
Марко Вовчок вулиця                                                  	вулиця Марко Вовчок
Марцелія Високінського вулиця                                        	вулиця Марцелія Високінського
Марценюка вулиця                                                     	вулиця Марценюка
Марії Гавриш вулиця                                                  	вулиця Марії Гавриш
Марії Заньковецької вулиця                                           	вулиця Марії Заньковецької
Марії Ковач вулиця                                                   	вулиця Марії Ковач
Марії Литвиненко-Вольгемут вулиця                                    	вулиця Марії Литвиненко-Вольгемут
Марії Примаченко вулиця                                              	вулиця Марії Примаченко
Марії Примаченко провулок                                            	провулок Марії Примаченко
Марії Руденко вулиця                                                 	вулиця Марії Руденко
Матвіенка вулиця                                                     	вулиця Матієнка
Матроса Кішки вулиця                                                 	вулиця Матроса Кішки
Матросова вулиця                                                     	вулиця Матросова
Матросова провулок                                                   	провулок Матросова
Машинобудівників вулиця                                              	вулиця Машинобудівників
Маяковського вулиця                                                  	вулиця Маяковського
Маяковського тупик                                                   	тупик Маяковського
Медведєва вулиця                                                     	вулиця Медведєва
Медвецького вулиця                                                   	вулиця Медвецького
Медніка вулиця                                                       	вулиця Медніка
Медніка провулок                                                     	провулок Медніка
Мельника вулиця                                                      	вулиця Мельника
Мельника провулок                                                    	провулок Мельника
Мельника тупик                                                       	тупик Мельника
Мельники провулок                                                    	провулок Мельники
Менделєєва вулиця                                                    	вулиця Менделєєва
Механізаторів вулиця                                                 	вулиця Механізаторів
Мечнікова вулиця                                                     	вулиця Мечнікова
Микитенка вулиця                                                     	вулиця Микитенка
Миколаєнка вулиця                                                    	вулиця Миколаєнка
Миколи Амосова вулиця                                                	вулиця Миколи Амосова
Миколи Амосова провулок                                              	провулок Миколи Амосова
Миколи Бажана вулиця                                                 	вулиця Миколи Бажана
Миколи Битинського вулиця                                            	вулиця Миколи Битинського
Миколи Болярського вулиця                                            	вулиця Миколи Болярського
Миколи Борецького вулиця                                             	вулиця Миколи Борецького
Миколи Ващука вулиця                                                 	вулиця Миколи Ващука
Миколи Зерова вулиця                                                 	вулиця Миколи Зерова
Миколи Костомарова вулиця                                            	вулиця Миколи Костомарова
Миколи Куліша вулиця                                                 	вулиця Миколи Куліша
Миколи Леонтовича вулиця                                             	вулиця Миколи Леонтовича
Миколи Лисенка вулиця                                                	вулиця Миколи Лисенка
Миколи Міхновського вулиця                                           	вулиця Миколи Міхновського
Миколи Некрасова вулиця                                              	вулиця Миколи Некрасова
Миколи Оводова вулиця                                                	вулиця Миколи Оводова
Миколи Стаховського вулиця                                           	вулиця Миколи Стаховського
Миколи Стягайла вулиця                                               	вулиця Миколи Стягайла
Миколи Туніка вулиця                                                 	вулиця Миколи Туніка
Миколи Хвильового вулиця                                             	вулиця Миколи Хвильового
Миколи Холодівського вулиця                                          	вулиця Миколи Холодівського
Миколи Яковченка вулиця                                              	вулиця Миколи Яковченка
Мирного вулиця                                                       	вулиця Мирного
Мирослава Скорика вулиця                                             	вулиця Мирослава Скорика
Миру вулиця                                                          	вулиця Миру
Миру площа                                                           	площа Миру
Миру провулок                                                        	провулок Миру
Митрополита Василя Липківського вулиця                               	вулиця Митрополита Василя Липківського
Митрополита Петра Могили вулиця                                      	вулиця Митрополита Петра Могили
Михайла Вербицького вулиця                                           	вулиця Михайла Вербицького
Михайла Вербицького провулок                                         	провулок Михайла Вербицького
Михайла Грушевського вулиця                                          	вулиця Михайла Грушевського
Михайла Драгоманова вулиця                                           	вулиця Михайла Драгоманова
Михайла Драгоманова провулок                                         	провулок Михайла Драгоманова
Михайла Коцюбинського вулиця                                         	вулиця Михайла Коцюбинського
Михайла Малишенка вулиця                                             	вулиця Михайла Малишенка
Михайла Омеляновича-Павленка вулиця                                  	вулиця Михайла Омеляновича-Павленка
Михайла Старицького вулиця                                           	вулиця Михайла Старицького
Михайла Стельмаха вулиця                                             	вулиця Михайла Стельмаха
Михайличенка вулиця                                                  	вулиця Михайличенка
