Підгаєцький-1 провулок                                                                        	1-й Підгаєцький провулок
Івана Федорова провулок                                                                       	провулок Івана Федорова
Івана Франка провулок                                                                         	провулок Івана Франка
Ігоря Волошина провулок                                                                       	провулок Ігоря Волошина
Йова Борецького провулок                                                                      	провулок Йова Борецького
Карбишева провулок                                                                            	провулок Карбишева
Князя Володимира провулок                                                                     	провулок Князя Володимира
Короленка провулок                                                                            	провулок Короленка
Кузнецова провулок                                                                            	провулок Кузнецова
Кутузова провулок                                                                             	провулок Кутузова
Леніна провулок                                                                               	провулок Леніна
Лермонтова провулок                                                                           	провулок Лермонтова
Лесі Українки провулок                                                                        	провулок Лесі Українки
Максима Залізняка провулок                                                                    	провулок Максима Залізняка
Марка Безручка провулок                                                                       	провулок Марка Безручка
Менделєєва провулок                                                                           	провулок Менделєєва
Миру провулок                                                                                 	провулок Миру
Мічуріна провулок                                                                             	провулок Мічуріна
Морозенка провулок                                                                            	провулок Морозенка
Невського провулок                                                                            	провулок Невського
Некрасова провулок                                                                            	провулок Некрасова
Носіна провулок                                                                               	провулок Носіна
Олександра Довженка провулок                                                                  	провулок Олександра Довженка
Олександра Юхимчука провулок                                                                  	провулок Олександра Юхимчука
Олени Пчілки провулок                                                                         	провулок Олени Пчілки
Ольги Кобилянської провулок                                                                   	провулок Ольги Кобилянської
Остапа Вересая провулок                                                                       	провулок Остапа Вересая
Островського провулок                                                                         	провулок Островського
Павла Скоропадського провулок                                                                 	провулок Павла Скоропадського
Павла Шумовського провулок                                                                    	провулок Павла Шумовського
Полку Азов провулок                                                                           	провулок Полку «Азов»
Поштарка провулок                                                                             	провулок Поштарка
пушкіна провулок                                                                              	провулок Пушкіна
Пушкіна провулок                                                                              	провулок Пушкіна
Святослава Хороброго провулок                                                                 	провулок Святослава Хороброго
Сергія Гулюка провулок                                                                        	провулок Сергія Гулюка
Сидорова провулок                                                                             	провулок Сидорова
Січових Стрільців провулок                                                                    	провулок Січових Стрільців
Степана Бандери провулок                                                                      	провулок Степана Бандери
Суворова провулок                                                                             	провулок Суворова
Тараса Белоцького провулок                                                                    	провулок Тараса Белоцького
Тараса Шевченка провулок                                                                      	провулок Тараса Шевченка
Терешкової провулок                                                                           	провулок Терешкової
Томаша провулок                                                                               	провулок Томаша
Тургенєва провулок                                                                            	провулок Тургенєва
Уласа Самчука провулок                                                                        	провулок Уласа Самчука
Улянії та Анастасії Гольшанських провулок                                                     	провулок Улянії та Анастасії Гольшанських
Фурманова провулок                                                                            	провулок Фурманова
Червонія провулок                                                                             	провулок Червонія
Черепки провулок                                                                              	провулок Черепки
Четвертного провулок                                                                          	провулок Четвертного
Чехова провулок                                                                               	провулок Чехова
Чубинського провулок                                                                          	провулок Чубинського
Шашкевича провулок                                                                            	провулок Шашкевича
Шевченка провулок                                                                             	провулок Шевченка
Шекспіра провулок                                                                             	провулок Шекспіра
Щоголіва провулок                                                                             	провулок Щоголіва
Ярославського провулок                                                                        	провулок Ярославського
Винниченка проїзд                                                                             	проїзд Винниченка
Генерала Безручка проспект                                                                    	проспект Генерала Безручка
Миру проспект                                                                                 	проспект Миру
Незалежності проспект                                                                         	проспект Незалежності
Тараса Шевченка проспект                                                                      	проспект Тараса Шевченка
Цементників проспект                                                                          	проспект Цементників
Радянська вулиця ;Советская улица                                                             	Радянська вулиця
Радянська вулиця;Советская улица;Radianska Street;Sovetskaya Street                           	Радянська вулиця
Різдв'яна вулиця                                                                              	Різдвяна вулиця
Слов'нська вулиця                                                                             	Словʼянська вулиця
Слов'янська вулиця                                                                            	Словʼянська вулиця
Слов’янська вулиця                                                                            	Словʼянська вулиця
Соборная улица                                                                                	Соборна вулиця
Солов'євська вулиця                                                                           	Соловʼєвська вулиця
Солов'їна вулиця                                                                              	Соловʼїна вулиця
Бердуха хутір                                                                                 	хутір Бердуха
Хутір Глинище                                                                                 	хутір Глинище
Піль хутір                                                                                    	хутір Піль
Центральна площа м. Сарни                                                                     	Центральна площа міста Сарни
Центральнyi Lane                                                                              	Центральний провулок
Chervonoarmiiska Street;Krasnoarmeyskaya Street;Червоноармійська вулиця;Красноармейская улица 	Червоноармійська вулиця
