1 Ірпіньський провулок                                          	1-й Ірпінський провулок
Шафранського вулиця                                             	вулиця Шафранського
Швидковського вулиця                                            	вулиця Швидковського
Шевченка вулиця                                                 	вулиця Шевченка
Шевченка провулок                                               	провулок Шевченка
Шеленка вулиця                                                  	вулиця Шеленка
Шептицького вулиця                                              	вулиця Шептицького
Шикули вулиця                                                   	вулиця Шикули
Шинкаренка вулиця                                               	вулиця Шинкаренка
Шитікова вулиця                                                 	вулиця Шитікова
Шкіля вулиця                                                    	вулиця Шкіля
Шкуматових вулиця                                               	вулиця Шкуматових
Шлях вулиця                                                     	вулиця Шлях
Шолом-Алейхема вулиця                                           	вулиця Шолом-Алейхема
Шота Руставелі вулиця                                           	вулиця Шота Руставелі
Штефана Великого вулиця                                         	вулиця Штефана Великого
Щастя вулиця                                                    	вулиця Щастя
Щепкіна вулиця                                                  	вулиця Щепкіна
Щербанюка вулиця                                                	вулиця Щербанюка
Щербини вулиця                                                  	вулиця Щербини
Щорса вулиця                                                    	вулиця Щорса
Ю. Гагаріна вулиця                                              	вулиця Ю. Гагаріна
Ю. Гагаріна провулок                                            	провулок Ю. Гагаріна
Ю. Федьковича вулиця                                            	вулиця Ю. Федьковича
Юліуса Фучика вулиця                                            	вулиця Юліуса Фучика
Юліуша Словацького вулиця                                       	вулиця Юліуша Словацького
Юрія Гагаріна вулиця                                            	вулиця Юрія Гагаріна
Юрія Гагаріна провулок                                          	провулок Юрія Гагаріна
Юрія Дрогобича вулиця                                           	вулиця Юрія Дрогобича
Юрія Мізунського вулиця                                         	вулиця Юрія Мізунського
Юрія Федькович вулиця                                           	вулиця Юрія Федьковича
Юрія Федьковича вулиця                                          	вулиця Юрія Федьковича
Юрія Федьковича провулок                                        	провулок Юрія Федьковича
Юрія Шкрібляка вулиця                                           	вулиця Юрія Шкрібляка
Я. Мудрого вулиця                                               	вулиця Я. Мудрого
Яблуева вулиця                                                  	Яблунева вулиця
Яворського вулиця                                               	вулиця Яворського
Яківчука вулиця                                                 	вулиця Яківчука
Яківчука провулок                                               	провулок Яківчука
Якоба фон Петровича вулиця                                      	вулиця Якоба фон Петровича
Якова Гукова вулиця                                             	вулиця Якова Гукова
Якова Капінуса вулиця                                           	вулиця Якова Капінуса
Якова Степового вулиця                                          	вулиця Якова Степового
Яна Налепки вулиця                                              	вулиця Яна Налепки
Яна Павла II вулиця                                             	вулиця Яна Павла II
Яна Райніса вулиця                                              	вулиця Яна Райніса
Яна Фабріціуса вулиця                                           	вулиця Яна Фабріціуса
Яремчука вулиця                                                 	вулиця Яремчука
Яремчука провулок                                               	провулок Яремчука
Ярослава Галана вулиця                                          	вулиця Ярослава Галана
Ярослава Галана провулок                                        	провулок Ярослава Галана
Ярослава Мудрого вулиця                                         	вулиця Ярослава Мудрого
Ярослава Мудрого провулок                                       	провулок Ярослава Мудрого
Ярошинської вулиця                                              	вулиця Ярошинської
Яші-Тракториста вулиця                                          	вулиця Яші-Тракториста
Cуворова провулок                                               	провулок Суворова
1 Травня вулиця;1 Мая улица                                     	вулиця 1 Травня
1-ий Вишневий провулок                                          	1-й Вишневий провулок
1-ий Дніпровський провулок                                      	1-й Дніпровський провулок
40 років перемоги вулиця ; 40 лет Победы улица                  	вулиця 40 років Перемоги
40-річчя Перемоги вулиця ;40 років Перемоги вулиця              	вулиця 40-річчя Перемоги
70 Років Великого Жовтня вулиця;70-річчя Великого Жовтня вулиця 	вулиця 70 років Великого Жовтня
9 Травня вулиця ; 9 Мая улица                                   	вулиця 9 Травня
В. Маяковського вулиця ;В. Маяковского улица                    	вулиця В. Маяковського
вулиця Буковинська;вулиця Чапаєва                               	Буковинська вулиця;вулиця Чапаєва
вулиця Карла Маркса;Karl Marx Street                            	вулиця Карла Маркса
вулиця Центральна;вулиця Леніна                                 	Центральна вулиця;вулиця Леніна
Гагаріна вулиця ; Гагарина улица                                	вулиця Гагаріна
Гагаріна вулиця ;гагарина улица                                 	вулиця Гагаріна
Герцена вулиця;Herzen Street                                    	вулиця Герцена
Герцена провулок;Herzen Lane                                    	провулок Герцена
Жовтнева вулиця ;Октябрьская вулиця                             	Жовтнева вулиця
Комсомольська вулиця ;Комсомольская улица                       	Комсомольська вулиця
Кошевого вулиця;Кошового вулиця                                 	вулиця Кошового
Лєрмонтова вулиця;Лермонтова вулиця                             	вулиця Лермонтова
П. Чайковського вулиця ;П. Чайковского улица                    	вулиця П. Чайковського
Перших Організаторів вулиця;Перших Активістів вулиця            	вулиця Перших Організаторів
Першотравнева вулиця ;Первомайская улица                        	Першотравнева вулиця
Пушкіна вулиця;Пушкина улица                                    	вулиця Пушкіна
Ю. Гагаріна вулиця ;Ю. Гагарина вулиця                          	вулиця Ю. Гагаріна
Алмазова Олекси вулиця                                          	вулиця Олекси Алмазова
белінського вулиця                                              	вулиця Белінського
Волошина Августина вулиця                                       	вулиця Августина Волошина
вул. Воробкевича                                                	вулиця Воробкевича
вул. Зелена                                                     	Зелена вулиця
вулиця 28 червня                                                	вулиця 28 Червня
вулиця Буковинська                                              	Буковинська вулиця
вулиця Верховинська                                             	Верховинська вулиця
вулиця Володимирівська                                          	Володимирівська вулиця
вулиця Вчительська                                              	Вчительська вулиця
вулиця Д, Чекмака                                               	вулиця Д. Чекмака
вулиця Дібровинська                                             	Дібровинська вулиця
вулиця Дністрова                                                	Дністрова вулиця
вулиця Дністровська                                             	Дністровська вулиця
вулиця Добросусідська                                           	Добросусідська вулиця
вулиця Заводська                                                	Заводська вулиця
вулиця Кобилянська                                              	Кобилянська вулиця
вулиця Комсомольська                                            	Комсомольська вулиця
вулиця Кошового О.                                              	вулиця О. Кошового
вулиця Краківська                                               	Краківська вулиця
вулиця Левадна                                                  	Левадна вулиця
вулиця Лісова                                                   	Лісова вулиця
вулиця Магазійська                                              	Магазійська вулиця
вулиця Магалянська                                              	Магалянська вулиця
вулиця Маковійчука,                                             	вулиця Маковійчука
вулиця Млинська                                                 	Млинська вулиця
вулиця Молдовська                                               	Молдовська вулиця
вулиця Молодогвардійська                                        	Молодогвардійська вулиця
вулиця Наддністрова                                             	Наддністрова вулиця
вулиця Надністровська                                           	Надністровська вулиця
вулиця Партизанська                                             	Партизанська вулиця
вулиця Піонерська                                               	Піонерська вулиця
вулиця Погорілівська                                            	Погорілівська вулиця
вулиця Польова                                                  	Польова вулиця
вулиця Полянська                                                	Полянська вулиця
вулиця Поштова                                                  	Поштова вулиця
вулиця Пролетарська                                             	Пролетарська вулиця
вулиця Руська                                                   	Руська вулиця
вулиця Садова                                                   	Садова вулиця
вулиця Святкова                                                 	Святкова вулиця
вулиця Севастопольська                                          	Севастопольська вулиця
вулиця Терешкової В.                                            	вулиця В. Терешкової
вулиця Українська                                               	Українська вулиця
вулиця Фермерська                                               	Фермерська вулиця
вулиця Фінляндська                                              	Фінляндська вулиця
вулиця Хотинська                                                	Хотинська вулиця
Деманта Петера вулиця                                           	вулиця Петера Деманта
Дзюби Івана вулиця                                              	вулиця Івана Дзюби
Дружбы вулиця                                                   	вулиця Дружби
Жизнєвського Михайла вулиця                                     	вулиця Михайла Жизнєвського
Залозецького Володимира провулок                                	провулок Володимира Залозецького
ковпака вулиця                                                  	вулиця Ковпака
колгоспна вулиця                                                	Колгоспна вулиця
Колодія Віталія вулиця                                          	вулиця Віталія Колодія
Костенюка Дмитра вулиця                                         	вулиця Дмитра Костенюка
Костенюка Дмитра провулок                                       	провулок Дмитра Костенюка
Костецького Келестина вулиця                                    	вулиця Келестина Костецького
Леонтовича Миколи вулиця                                        	вулиця Миколи Леонтовича
Леонтовича Миколи провулок                                      	провулок Миколи Леонтовича
Липневавулиця                                                   	Липнева вулиця
Лізі Чайкіної вулиця                                            	вулиця Лізи Чайкіної
Луцького Остапа вулиця                                          	вулиця Остапа Луцького
Майданського Костянтина вулиця                                  	вулиця Костянтина Майданського
Майданського Костянтина провулок                                	провулок Костянтина Майданського
Мозгового  вулиця                                               	вулиця Мозгового
Мозгового Миколи вулиця                                         	вулиця Миколи Мозгового
нікітіна вулиця                                                 	вулиця Нікітіна
Олександра Щербанюка, Героя України вулиця                      	вулиця Героя України Олександра Щербанюка
Осмомисла Ярослава вулиця                                       	вулиця Ярослава Осмомисла
Панчука Олега вулиця                                            	вулиця Олега Панчука
Панчука Олега провулок                                          	провулок Олега Панчука
Петрищука Олександра вулиця                                     	вулиця Олександра Петрищука
провулок Буковинський                                           	Буковинський провулок
провулок Героїв України 1-й                                     	1-й провулок Героїв України
провулок Героїв України 2-й                                     	2-й провулок Героїв України
провулок Макаренка 1й                                           	1-й провулок Макаренка
провулок Макаренка 2й                                           	2-й провулок Макаренка
провулок Макаренка 3й                                           	3-й провулок Макаренка
провулок Незалежності 1й                                        	1-й провулок Незалежності
провулок Незалежності 2й                                        	2-й провулок Незалежності
провулок Незалежності 3й                                        	3-й провулок Незалежності
провулок Терешкової 1-й                                         	1-й провулок Терешкової
провулок Терешкової 2-й                                         	2-й провулок Терешкової
провулок Ю. Федьковича                                          	провулок Ю. Федьковича
пушкіна вулиця                                                  	вулиця Пушкіна
радянської армії вулиця                                         	вулиця Радянської Армії
пушкіна провулок                                                	провулок Пушкіна
Спортивний пров                                                 	Спортивний провулок
Тихого Олекси вулиця                                            	вулиця Олекси Тихого
Товстюка Корнія вулиця                                          	вулиця Корнія Товстюка
толстого вулиця                                                 	вулиця Толстого
Урочище Лан                                                     	урочище Лан
урочище, Цецино                                                 	урочище Цецино
ЦАРИНКА                                                         	Царинка
Чендея Івана вулиця                                             	вулиця Івана Чендея
Чибінєєва Валерія вулиця                                        	вулиця Валерія Чибінєєва
чкалова вулиця                                                  	вулиця Чкалова
чугуніна вулиця                                                 	вулиця Чугуніна
Щербанюка Олександра вулиця                                     	вулиця Олександра Щербанюка
Яківчука Авксентія вулиця                                       	вулиця Авксентія Яківчука
Яківчука Авксентія провулок                                     	провулок Авксентія Яківчука
Яремчука Назарія провулок                                       	провулок Назарія Яремчука
