1 Грудня вулиця                                                                      	вулиця 1 Грудня
Миколи Лисенка вулиця                                                                	вулиця Миколи Лисенка
Миколи Лисенка провулок                                                              	провулок Миколи Лисенка
Миколи Магери вулиця                                                                 	вулиця Миколи Магери
Миколи Магери провулок                                                               	провулок Миколи Магери
Миколи Мазура вулиця                                                                 	вулиця Миколи Мазура
Миколи Микитюка вулиця                                                               	вулиця Миколи Микитюка
Миколи Мозгового вулиця                                                              	вулиця Миколи Мозгового
Миколи Островського вулиця                                                           	вулиця Миколи Островського
Миколи П'яскорського вулиця                                                          	вулиця Миколи Пʼяскорського
Миколи Полюляка вулиця                                                               	вулиця Миколи Полюляка
Миколи Сікори вулиця                                                                 	вулиця Миколи Сікори
Миколи Тарнавського вулиця                                                           	вулиця Миколи Тарнавського
Миколи Трублаїні вулиця                                                              	вулиця Миколи Трублаїні
Миколи Федунця вулиця                                                                	вулиця Миколи Федунця
Миколи Чернишевського вулиця                                                         	вулиця Миколи Чернишевського
Миколи Щорса вулиця                                                                  	вулиця Миколи Щорса
Миколи Щорса провулок                                                                	провулок Миколи Щорса
Мира вулиця                                                                          	вулиця Мира
Мира проспект                                                                        	проспект Мира
Мирного вулиця                                                                       	вулиця Мирного
Мирослава Скорика вулиця                                                             	вулиця Мирослава Скорика
Мирослава Сливки провулок                                                            	провулок Мирослава Сливки
Миротворців вулиця                                                                   	вулиця Миротворців
Миру вулиця                                                                          	вулиця Миру
Миру провулок                                                                        	провулок Миру
Миру проспект                                                                        	проспект Миру
Митрополита Шептицького вулиця                                                       	вулиця Митрополита Шептицького
Митрополита Шептицького провулок                                                     	провулок Митрополита Шептицького
Михайла Вербицького вулиця                                                           	вулиця Михайла Вербицького
Михайла Грушевського вулиця                                                          	вулиця Михайла Грушевського
Михайла Грушевського провулок                                                        	провулок Михайла Грушевського
Михайла Драгоманова вулиця                                                           	вулиця Михайла Драгоманова
Михайла Калініна вулиця                                                              	вулиця Михайла Калініна
Михайла Калініна провулок                                                            	провулок Михайла Калініна
Михайла Коцюбинського вулиця                                                         	вулиця Михайла Коцюбинського
Михайла Кравчука вулиця                                                              	вулиця Михайла Кравчука
Михайла Кравчука провулок                                                            	провулок Михайла Кравчука
Михайла Кутузова вулиця                                                              	вулиця Михайла Кутузова
Михайла Лермонтова вулиця                                                            	вулиця Михайла Лермонтова
Михайла Ломоносова вулиця                                                            	вулиця Михайла Ломоносова
Михайла Ломоносова провулок                                                          	провулок Михайла Ломоносова
Михайла Орловського вулиця                                                           	вулиця Михайла Орловського
Михайла Орловського провулок                                                         	провулок Михайла Орловського
Михайла Рудяка вулиця                                                                	вулиця Михайла Рудяка
Михайла Старицького вулиця                                                           	вулиця Михайла Старицького
Михайла Стельмаха вулиця                                                             	вулиця Михайла Стельмаха
Михайла Стельмаха провулок                                                           	провулок Михайла Стельмаха
Михайла Фрунзе вулиця                                                                	вулиця Михайла Фрунзе
Михайла Чекмана вулиця                                                               	вулиця Михайла Чекмана
Михайла Шолохова провулок                                                            	провулок Михайла Шолохова
Михайлини Коцюбинської вулиця                                                        	вулиця Михайлини Коцюбинської
Михайлова вулиця                                                                     	вулиця Михайлова
Можайського вулиця                                                                   	вулиця Можайського
Можайського провулок                                                                 	провулок Можайського
Мойсея Урицького вулиця                                                              	вулиця Мойсея Урицького
Молодої Гвардії вулиця                                                               	вулиця Молодої Гвардії
Молодої гвардії вулиця                                                               	вулиця Молодої Гвардії
Мончака вулиця                                                                       	вулиця Мончака
Морозенка вулиця                                                                     	вулиця Морозенка
Морозенка провулок                                                                   	провулок Морозенка
Морозова вулиця                                                                      	вулиця Морозова
Морозівка вулиця                                                                     	вулиця Морозівка
Мостіпаки вулиця                                                                     	вулиця Мостіпаки
Музальова вулиця                                                                     	вулиця Музальова
Мурого вулиця                                                                        	вулиця Мурого
Мікоти вулиця                                                                        	вулиця Мікоти
Мікояна вулиця                                                                       	вулиця Мікояна
Місевича вулиця                                                                      	вулиця Місевича
Міхновського Миколи вулиця                                                           	вулиця Миколи Міхновського
Міцкевича вулиця                                                                     	вулиця Міцкевича
Мічурина вулиця                                                                      	вулиця Мічурина
Мічуріна вулиця                                                                      	вулиця Мічуріна
Мічуріна провулок                                                                    	провулок Мічуріна
Н. С. Говорун вулиця                                                                 	вулиця Н. С. Говорун
Наголюка вулиця                                                                      	вулиця Наголюка
Нагірний 3б провулок                                                                 	3-й Нагірний провулок Б
Назарія Яремчука вулиця                                                              	вулиця Назарія Яремчука
Назарія Яремчука провулок                                                            	провулок Назарія Яремчука
Наливайка вулиця                                                                     	вулиця Наливайка
Народної Волі вулиця                                                                 	вулиця Народної Волі
Натана Рибака вулиця                                                                 	вулиця Натана Рибака
Натана Рибака провулок                                                               	провулок Натана Рибака
Нахімова вулиця                                                                      	вулиця Нахімова
Небесної Сотні вулиця                                                                	вулиця Небесної Сотні
Небесної сотні вулиця                                                                	вулиця Небесної Сотні
Невського вулиця                                                                     	вулиця Невського
Невідомого Солдата вулиця                                                            	вулиця Невідомого Солдата
Незалежності вулиця                                                                  	вулиця Незалежності
Незалежності майдан                                                                  	майдан Незалежності
Незалежності площа                                                                   	площа Незалежності
Незалежності провулок                                                                	провулок Незалежності
Незалежності проспект                                                                	проспект Незалежності
Некрасова вулиця                                                                     	вулиця Некрасова
Некрасова провулок                                                                   	провулок Некрасова
Нестерова вулиця                                                                     	вулиця Нестерова
Нестора Літописця вулиця                                                             	вулиця Нестора Літописця
Нечая вулиця                                                                         	вулиця Нечая
Нечая провулок                                                                       	провулок Нечая
Нечуя-Левицького вулиця                                                              	вулиця Нечуя-Левицького
Нова Левада вулиця                                                                   	вулиця Нова Левада
Нове Життя вулиця                                                                    	вулиця Нове Життя
Новий План вулиця                                                                    	вулиця Новий План
Новики вулиця                                                                        	вулиця Новики
Новоселів вулиця                                                                     	вулиця Новоселів
Новоселівка вулиця                                                                   	вулиця Новоселівка
Новосілка вулиця                                                                     	вулиця Новосілка
Нєкрасова вулиця                                                                     	вулиця Нєкрасова
Ніколаєва вулиця                                                                     	вулиця Ніколаєва
Нікітчука вулиця                                                                     	вулиця Нікітчука
Ніни Омелянчук вулиця                                                                	вулиця Ніни Омелянчук
Ніни Янчук вулиця                                                                    	вулиця Ніни Янчук
О. Кошового вулиця                                                                   	вулиця О. Кошового
О.Кобилянської вулиця                                                                	вулиця О. Кобилянської
О.П. Сидоришина вулиця                                                               	вулиця О. П. Сидоришина
Об'їздна вулиця                                                                      	Обʼїздна вулиця
Об'їзна вулиця                                                                       	Обʼїзна вулиця
Об'їзна дорога                                                                       	Обʼїзна дорога
Оболоня вулиця                                                                       	вулиця Оболоня
Об’їзна вулиця                                                                       	Обʼїзна вулиця
Овсієнка вулиця                                                                      	вулиця Овсієнка
Огієнка вулиця                                                                       	вулиця Огієнка
Огієнка провулок                                                                     	провулок Огієнка
Одухи вулиця                                                                         	вулиця Одухи
Одухи провулок                                                                       	провулок Одухи
Окинського вулиця                                                                    	вулиця Окинського
Оксанченка провулок                                                                  	провулок Оксанченка
Олега Кошевого вулиця                                                                	вулиця Олега Кошевого
Олега Кошового вулиця                                                                	вулиця Олега Кошового
Олега Кошового провулок                                                              	провулок Олега Кошового
Олега Ольжича вулиця                                                                 	вулиця Олега Ольжича
Олега Ольжича провулок                                                               	провулок Олега Ольжича
Олега Онищука вулиця                                                                 	вулиця Олега Онищука
Олейнюка вулиця                                                                      	вулиця Олейнюка
Олеко Дундича вулиця                                                                 	вулиця Олеко Дундича
Олександра Ємця вулиця                                                               	вулиця Олександра Ємця
Олександра Багрія вулиця                                                             	вулиця Олександра Багрія
Олександра Бершеди вулиця                                                            	вулиця Олександра Бершеди
Олександра Гончара провулок                                                          	провулок Олександра Гончара
Олександра Грибоєдова вулиця                                                         	вулиця Олександра Грибоєдова
Олександра Гуменюка вулиця                                                           	вулиця Олександра Гуменюка
Олександра Довженка вулиця                                                           	вулиця Олександра Довженка
Олександра Ковальчука вулиця                                                         	вулиця Олександра Ковальчука
Олександра Кушнірука вулиця                                                          	вулиця Олександра Кушнірука
Олександра Матросова провулок                                                        	провулок Олександра Матросова
Олександра Мельника вулиця                                                           	вулиця Олександра Мельника
Олександра Невського вулиця                                                          	вулиця Олександра Невського
Олександра Олеся провулок                                                            	провулок Олександра Олеся
Олександра Павлова вулиця                                                            	вулиця Олександра Павлова
Олександра Пархоменка вулиця                                                         	вулиця Олександра Пархоменка
Олександра Пушкіна вулиця                                                            	вулиця Олександра Пушкіна
Олександра Суворова вулиця                                                           	вулиця Олександра Суворова
Олександра Трояновського вулиця                                                      	вулиця Олександра Трояновського
Олександра Удовиченка вулиця                                                         	вулиця Олександра Удовиченка
Олексенка вулиця                                                                     	вулиця Олексенка
Олекси Береста вулиця                                                                	вулиця Олекси Береста
Олекси Береста провулок                                                              	провулок Олекси Береста
Олекси Довбуша вулиця                                                                	вулиця Олекси Довбуша
Олексія Почтового вулиця                                                             	вулиця Олексія Почтового
Олени Пчілки вулиця                                                                  	вулиця Олени Пчілки
Олени Пчілки провулок                                                                	провулок Олени Пчілки
Олени Теліги провулок                                                                	провулок Олени Теліги
Олеся Гончара вулиця                                                                 	вулиця Олеся Гончара
Олеся Кошового провулок                                                              	провулок Олеся Кошового
Олеся провулок                                                                       	провулок Олеся
Ольги Кобилянської вулиця                                                            	вулиця Ольги Кобилянської
Ольги Кобилянської провулок                                                          	провулок Ольги Кобилянської
Ольги Мак вулиця                                                                     	вулиця Ольги Мак
Ольжича провулок                                                                     	провулок Ольжича
Олійника вулиця                                                                      	вулиця Олійника
Омельчука вулиця                                                                     	вулиця Омельчука
Онуфрієвського вулиця                                                                	вулиця Онуфрієвського
Оніщука вулиця                                                                       	вулиця Оніщука
Орджонікідзе вулиця                                                                  	вулиця Орджонікідзе
Орлика Пилипа вулиця                                                                 	вулиця Пилипа Орлика
Орлика вулиця                                                                        	вулиця Орлика
Ортинського вулиця                                                                   	вулиця Ортинського
Осипенка провулок                                                                    	провулок Осипенка
Осліковського вулиця                                                                 	вулиця Осліковського
Остапа Вишні вулиця                                                                  	вулиця Остапа Вишні
Остапа Вишні провулок                                                                	провулок Остапа Вишні
Островського вулиця                                                                  	вулиця Островського
Островського провулок                                                                	провулок Островського
Острозьково вулиця                                                                   	вулиця Острозьково
Острозького бульвар                                                                  	бульвар Острозького
Острозького вулиця                                                                   	вулиця Острозького
П'яскорського вулиця                                                                 	вулиця Пʼяскорського
П'ятий Проскурівський провулок                                                       	5-й Проскурівський провулок
П. Кондратюка вулиця                                                                 	вулиця П. Кондратюка
П. Морозова вулиця                                                                   	вулиця П. Морозова
П. Пенкальського вулиця                                                              	вулиця П. Пенкальського
П. Сангушка вулиця                                                                   	вулиця П. Сангушка
Павла Богацького провулок                                                            	провулок Павла Богацького
Павла Загребельного вулиця                                                           	вулиця Павла Загребельного
Павла Загребельного провулок                                                         	провулок Павла Загребельного
Павла Полуботка вулиця                                                               	вулиця Павла Полуботка
Павла Поповича вулиця                                                                	вулиця Павла Поповича
Павла Скоропадського вулиця                                                          	вулиця Павла Скоропадського
Павла Стрельчука вулиця                                                              	вулиця Павла Стрельчука
Павла Стрельчука провулок                                                            	провулок Павла Стрельчука
Павла Тичини вулиця                                                                  	вулиця Павла Тичини
Павла Чубинського вулиця                                                             	вулиця Павла Чубинського
Павла Чубинського провулок                                                           	провулок Павла Чубинського
Павлова вулиця                                                                       	вулиця Павлова
Павлова провулок                                                                     	провулок Павлова
Павловського вулиця                                                                  	вулиця Павловського
Паламарчука вулиця                                                                   	вулиця Паламарчука
Панаса Мирного вулиця                                                                	вулиця Панаса Мирного
Панаса Мирного провулок                                                              	провулок Панаса Мирного
Панаса Мирного проїзд                                                                	проїзд Панаса Мирного
Панаса Саксаганського вулиця                                                         	вулиця Панаса Саксаганського
Панаса Саксаганського провулок                                                       	провулок Панаса Саксаганського
Панасюка вулиця                                                                      	вулиця Панасюка
Панфілова вулиця                                                                     	вулиця Панфілова
Панфілова провулок                                                                   	провулок Панфілова
Паоло Фонтані вулиця                                                                 	вулиця Паоло Фонтані
Папаніна вулиця                                                                      	вулиця Папаніна
Папаніна провулок                                                                    	провулок Папаніна
Параджанова провулок                                                                 	провулок Параджанова
Паризької Комуни вулиця                                                              	вулиця Паризької Комуни
Паризької комуни вулиця                                                              	вулиця Паризької Комуни
Партизанів-Підпільників вулиця                                                       	вулиця Партизанів-Підпільників
Пархоменка вулиця                                                                    	вулиця Пархоменка
Пархоменка провулок                                                                  	провулок Пархоменка
Пасічника вулиця                                                                     	вулиця Пасічника
Патона вулиця                                                                        	вулиця Патона
Патона провулок                                                                      	провулок Патона
Патріарха Мстислава вулиця                                                           	вулиця Патріарха Мстислава
Патріотів України алея                                                               	алея Патріотів України
Патріотів України вулиця                                                             	вулиця Патріотів України
Патріотів вулиця                                                                     	вулиця Патріотів
Патріса Лумумби вулиця                                                               	вулиця Патріса Лумумби
Пацаєва вулиця                                                                       	вулиця Пацаєва
Паши Ангеліної вулиця                                                                	вулиця Паши Ангеліної
Пеліховського вулиця                                                                 	вулиця Пеліховського
Пендрака В.А. вулиця                                                                 	вулиця В. А. Пендрака
Пенсіонерів вулиця                                                                   	вулиця Пенсіонерів
Переліски вулиця                                                                     	вулиця Переліски
Перемоги вулиця                                                                      	вулиця Перемоги
Перемоги провулок                                                                    	провулок Перемоги
Перша Привокзальна вулиця                                                            	1-ша Привокзальна вулиця
Перша вулиця                                                                         	1-ша вулиця
Перший Олімпійський провулок                                                         	1-й Олімпійський провулок
Перший Проскурівський провулок                                                       	1-й Проскурівський провулок
Петлюри вулиця                                                                       	вулиця Петлюри
Петлюри провулок                                                                     	провулок Петлюри
Петлюри проїзд                                                                       	проїзд Петлюри
Петра Болбочана вулиця                                                               	вулиця Петра Болбочана
Петра Дорошенка вулиця                                                               	вулиця Петра Дорошенка
Петра Сагайдачного вулиця                                                            	вулиця Петра Сагайдачного
Петра Шемчука вулиця                                                                 	вулиця Петра Шемчука
Петраківського вулиця                                                                	вулиця Петраківського
Петрова вулиця                                                                       	вулиця Петрова
Петровського вулиця                                                                  	вулиця Петровського
Печенюка вулиця                                                                      	вулиця Печенюка
Пилипа Коновала вулиця                                                               	вулиця Пилипа Коновала
Пилипа Орлика вулиця                                                                 	вулиця Пилипа Орлика
Пилипа Орлика провулок                                                               	провулок Пилипа Орлика
Пилипа Поплавського вулиця                                                           	вулиця Пилипа Поплавського
Писаренка вулиця                                                                     	вулиця Писаренка
Пишкіна вулиця                                                                       	вулиця Пишкіна
Пламеницьких вулиця                                                                  	вулиця Пламеницьких
Платона Майбороди вулиця                                                             	вулиця Платона Майбороди
Плеханова вулиця                                                                     	вулиця Плеханова
Плотиче вулиця                                                                       	вулиця Плотиче
Площа Незалежності                                                                   	площа Незалежності
Поворіна вулиця                                                                      	вулиця Поворіна
Поворіна провулок                                                                    	провулок Поворіна
Поділля вулиця                                                                       	вулиця Поділля
Покришкіна вулиця                                                                    	вулиця Покришкіна
Покришкіна провулок                                                                  	провулок Покришкіна
Покрови вулиця                                                                       	вулиця Покрови
Польський Ринок площа                                                                	площа Польський Ринок
Польський ринок площа                                                                	площа Польський Ринок
Полісся вулиця                                                                       	вулиця Полісся
Попова вулиця                                                                        	вулиця Попова
Попова провулок                                                                      	провулок Попова
Поповича вулиця                                                                      	вулиця Поповича
Потьомкіна вулиця                                                                    	вулиця Потьомкіна
Починка вулиця                                                                       	вулиця Починка
Правди вулиця                                                                        	вулиця Правди
Праці вулиця                                                                         	вулиця Праці
Праці провулок                                                                       	провулок Праці
Пресайзена вулиця                                                                    	вулиця Пресайзена
Пригонова вулиця                                                                     	вулиця Пригонова
Прикордонників вулиця                                                                	вулиця Прикордонників
Прилюка вулиця                                                                       	вулиця Прилюка
Примакова вулиця                                                                     	вулиця Примакова
Примакова провулок                                                                   	провулок Примакова
Присайзена вулиця                                                                    	вулиця Присайзена
Пристань вулиця                                                                      	вулиця Пристань
Пров. Пушкіна                                                                        	провулок Пушкіна
Прокоп'юка вулиця                                                                    	вулиця Прокопʼюка
Просвіти вулиця                                                                      	вулиця Просвіти
Проскурівського Підпілля вулиця                                                      	вулиця Проскурівського Підпілля
Проскурівського підпілля вулиця                                                      	вулиця Проскурівського Підпілля
Проскурівського підпілля провулок                                                    	провулок Проскурівського Підпілля
Проскурівського підпілля проїзд                                                      	проїзд Проскурівського Підпілля
Пугачова вулиця                                                                      	вулиця Пугачова
Пугачова провулок                                                                    	провулок Пугачова
Пулюя вулиця                                                                         	вулиця Пулюя
Пулюя провулок                                                                       	провулок Пулюя
Пушкина вулиця                                                                       	вулиця Пушкина
Пушкіна вулиця                                                                       	вулиця Пушкіна
Пушкіна провулок                                                                     	провулок Пушкіна
Підгурського вулиця                                                                  	вулиця Підгурського
Підкови провулок                                                                     	провулок Підкови
Пілипчука вулиця                                                                     	вулиця Пілипчука
П’яскорського вулиця                                                                 	вулиця Пʼяскорського
П’яскорського провулок                                                               	провулок Пʼяскорського
П’ятисотенниць вулиця                                                                	вулиця Пʼятисотенниць
П’ятисотенниць провулок                                                              	провулок Пʼятисотенниць
П’ятихатка вулиця                                                                    	вулиця Пʼятихатка
П’ятницька вулиця                                                                    	Пʼятницька вулиця
Р. Шухевича вулиця                                                                   	вулиця Р. Шухевича
