.Сонячна вулиця                                                         	Сонячна вулиця
Калініна вулиця ;Калинина улица                                         	вулиця Калініна
Калініна перевулок                                                      	провулок Калініна
Калініна провулок                                                       	провулок Калініна
Калiнiна вулиця                                                         	вулиця Калініна
Кам'яний провулок                                                       	Камʼяний провулок
Кам'янська вулиця                                                       	Камʼянська вулиця
Кам’яний провулок                                                       	Камʼяний провулок
Кам’янська вулиця                                                       	Камʼянська вулиця
Кана вулиця                                                             	вулиця Кана
Канівщина вулиця                                                        	вулиця Канівщина
Капицівка вулиця                                                        	вулиця Капицівка
Капітана Зайцева вулиця                                                 	вулиця Капітана Зайцева
Капітана Строкова вулиця                                                	вулиця Капітана Строкова
Капра Дехтяренка вулиця                                                 	вулиця Капра Дехтяренка
Кар'єрна вулиця                                                         	Карʼєрна вулиця
Кар’єрна вулиця                                                         	Карʼєрна вулиця
Кар’єрний провулок                                                      	Карʼєрний провулок
Карбишева вулиця                                                        	вулиця Карбишева
Карбишева провулок                                                      	провулок Карбишева
Карла Лібкнехта вулиця                                                  	вулиця Карла Лібкнехта
Карла Лібкнехта провулок                                                	провулок Карла Лібкнехта
Карла Маркса вулиця                                                     	вулиця Карла Маркса
карла маркса вулиця;Karl Marx Street                                    	вулиця Карла Маркса
Карла Маркса улица                                                      	вулиця Карла Маркса
Кармелюка вулиця                                                        	вулиця Кармелюка
Карташова вулиця                                                        	вулиця Карташова
Карцевої вулиця                                                         	вулиця Карцевої
Катерини Фещенко вулиця                                                 	вулиця Катерини Фещенко
Каті Фещенко вулиця                                                     	вулиця Каті Фещенко
Каурова провулок                                                        	провулок Каурова
Каширіна вулиця                                                         	вулиця Каширіна
Каштанова алея                                                          	алея Каштанова
квартал Поліський                                                       	Поліський квартал
Квітки-Основ'яненка провулок                                            	провулок Квітки-Основʼяненка
Квітки-Основ’яненка вулиця                                              	вулиця Квітки-Основʼяненка
Квiтнева вулиця                                                         	Квітнева вулиця
Кибенка вулиця                                                          	вулиця Кибенка
Кибенка провулок                                                        	провулок Кибенка
киевская                                                                	Київська
Киевская улица                                                          	Київська вулиця
Київська область, с. Калинівка, вул. Київська                           	Київська вулиця
Київське Шосе вулиця                                                    	вулиця Київське Шосе
Київський переулок                                                      	Київський провулок
Київський шлях вулиця                                                   	вулиця Київський Шлях
Київський Шлях вулиця                                                   	вулиця Київський Шлях
Київських Будівельників вулиця                                          	вулиця Київських Будівельників
Кип'яча вулиця                                                          	вулиця Кипʼяча
Кирийчуків вулиця                                                       	вулиця Кирийчуків
Кирила Стеценка вулиця                                                  	вулиця Кирила Стеценка
Кирилюка вулиця                                                         	вулиця Кирилюка
Кирпоноса вулиця                                                        	вулиця Кирпоноса
Кібенка вулиця                                                          	вулиця Кібенка
Кірова вулиця                                                           	вулиця Кірова
Кірова вулиця ; Кирова улица                                            	вулиця Кірова
Кірова провулок                                                         	провулок Кірова
Кіровоградська вулиця:Молодіжна вулиця                                  	Кіровоградська вулиця;Молодіжна вулиця
Кітченко вулиця                                                         	вулиця Кітченко
Кладижинська вулиця, провулок Чернишевського                            	Кладижинська вулиця;провулок Чернишевського
Клари Цеткін вулиця                                                     	вулиця Клари Цеткін
Клюхька вулиця                                                          	вулиця Клюхька
Княгині Ольги бульвар                                                   	бульвар Княгині Ольги
Княгині Ольги вулиця                                                    	вулиця Княгині Ольги
Княгині Ольги провулок                                                  	провулок Княгині Ольги
Князькіна вулиця                                                        	вулиця Князькіна
Князя Володимира вулиця                                                 	вулиця Князя Володимира
Князя Ігоря вулиця                                                      	вулиця Князя Ігоря
Князя Ігоря провулок                                                    	провулок Князя Ігоря
Князя Острозького вулиця                                                	вулиця Князя Острозького
Князя Рюрика вулиця                                                     	вулиця Князя Рюрика
Князя Святослава вулиця                                                 	вулиця Князя Святослава
Князя Святослава провулок                                               	провулок Князя Святослава
Кобзарів вулиця                                                         	вулиця Кобзарів
Кобзаря вулиця                                                          	вулиця Кобзаря
Ковалевської вулиця                                                     	вулиця Ковалевської
Ковальова вулиця                                                        	вулиця Ковальова
Ковельмана вулиця                                                       	вулиця Ковельмана
Ковніра вулиця                                                          	вулиця Ковніра
Ковпака вулиця                                                          	вулиця Ковпака
Ковпака провулок                                                        	провулок Ковпака
Ковшевацького вулиця                                                    	вулиця Ковшевацького
Кожанське шосе вулиця                                                   	вулиця Кожанське Шосе
Кожедуба вулиця                                                         	вулиця Кожедуба
Кожедуба провулок                                                       	провулок Кожедуба
Кожем’ятська вулиця                                                     	Кожемʼятська вулиця
Козаківка вулиця                                                        	вулиця Козаківка
Козацької Слави вулиця                                                  	вулиця Козацької Слави
Козацької Слави провулок                                                	провулок Козацької Слави
Козачий вулиця                                                          	Козачий провулок
Козачої Ради вулиця                                                     	вулиця Козачої Ради
Козачої Ради провулок                                                   	провулок Козачої Ради
Козирьова вулиця                                                        	вулиця Козирьова
Козловського вулиця                                                     	вулиця Козловського
Козловського провулок                                                   	провулок Козловського
колгоспна вулиця                                                        	Колгоспна вулиця
Колгоспна вулиця ; Колхозная улица                                      	Колгоспна вулиця
Колгоспна вулиця;Колхозная улица                                        	Колгоспна вулиця
Колгоспна dekbwz                                                        	Колгоспна вулиця
Колесника вулиця                                                        	вулиця Колесника
Колінченка провулок                                                     	провулок Колінченка
Кольцова вулиця                                                         	вулиця Кольцова
Комарова вулиця                                                         	вулиця Комарова
Комарова вулиця;ulica Komarowa                                          	Комарова вулиця
Комарова провулок                                                       	провулок Комарова
Комінтерну вулиця                                                       	вулиця Комінтерну
Комсомольська вулиця ; Комсомольская улица                              	Комсомольська вулиця
Комсомольська вулиця;ulica Komsomolska                                  	Комсомольська вулиця
Комсомольців 20-х років вулиця                                          	вулиця Комсомольців 20-х років
Комунарів вулиця                                                        	вулиця Комунарів
Кондратенка вулиця                                                      	вулиця Кондратенка
Конєва вулиця                                                           	вулиця Конєва
Коноплястого вулиця                                                     	вулиця Коноплястого
Коноша вулиця                                                           	вулиця Коноша
Копачiвська вулиця                                                      	Копачівська вулиця
Корженевського вулиця                                                   	вулиця Корженевського
Корженевського провулок                                                 	провулок Корженевського
Корзуна вулиця                                                          	вулиця Корзуна
Корнійчука вулиця                                                       	вулиця Корнійчука
Коробко вулиця;Коробка вулиця                                           	вулиця Коробка
Коробчевського вулиця                                                   	вулиця Коробчевського
Короленка вулиця                                                        	вулиця Короленка
Короленка провулок                                                      	провулок Короленка
Короленка улица                                                         	вулиця Короленка
Корольова вулиця                                                        	вулиця Корольова
Корольова провулок                                                      	провулок Корольова
Королiвський провулок                                                   	Королівський провулок
Короткевича вулиця                                                      	вулиця Короткевича
Корчагіна вулиця                                                        	вулиця Корчагіна
Корчіївка вулиця                                                        	вулиця Корчіївка
Косінова вулиця                                                         	вулиця Косінова
косіора вулиця                                                          	вулиця Косіора
Косіора вулиця                                                          	вулиця Косіора
Космача вулиця                                                          	вулиця Космача
Космонавта Комарова вулиця                                              	вулиця Космонавта Комарова
Космонавта Поповича вулиця                                              	вулиця Космонавта Поповича
Космонавтів вулиця                                                      	вулиця Космонавтів
Космонавтів провулок                                                    	провулок Космонавтів
Косовської Ольги проспект                                               	проспект Ольги Косовської
Косогона вулиця                                                         	вулиця Косогона
Костини вулиця                                                          	вулиця Костини
Костомарова вулиця                                                      	вулиця Костомарова
Костянтина Непопа вулиця                                                	вулиця Костянтина Непопа
Костянтина Паустовського провулок                                       	провулок Костянтина Паустовського
Котляревського вулиця                                                   	вулиця Котляревського
Котляревського провулок                                                 	провулок Котляревського
Котовского улица                                                        	вулиця Котовського
Котовського вулиця                                                      	вулиця Котовського
Котовського вулиця ; Котовского улица                                   	вулиця Котовського
Котовського вулиця ;Котовського улица                                   	вулиця Котовського
Котовського провулок                                                    	провулок Котовського
Коханка вулиця                                                          	вулиця Коханка
Коцюбинського вулиця                                                    	вулиця Коцюбинського
Коцюбинського провулок                                                  	провулок Коцюбинського
Кочагіна провулок                                                       	провулок Кочагіна
Кочергина вулиця                                                        	вулиця Кочергина
Кочубея вулиця                                                          	вулиця Кочубея
Кошевого улица                                                          	вулиця Кошового
Кошеля вулиця                                                           	вулиця Кошеля
Кошиця вулиця                                                           	вулиця Кошиця
Кошиця провулок                                                         	провулок Кошиця
Кошмана вулиця                                                          	вулиця Кошмана
Кошмана провулок                                                        	провулок Кошмана
Кошового вулиця                                                         	вулиця Кошового
Кошового провулок                                                       	провулок Кошового
Кравців вулиця                                                          	вулиця Кравців
Кравця вулиця                                                           	вулиця Кравця
Кравченка вулиця                                                        	вулиця Кравченка
Красіна вулиця                                                          	вулиця Красіна
Красіна провулок                                                        	провулок Красіна
Красноармейская улица                                                   	Червоноармійська вулиця
Красного Пахаря вулиця                                                  	вулиця Красного Пахаря
Кремінського вулиця                                                     	вулиця Кремінського
Кремінського провулок                                                   	провулок Кремінського
Крещатик улица                                                          	вулиця Хрещатик
Кривова вулиця                                                          	вулиця Кривова
Кривоноса вулиця                                                        	вулиця Кривоноса
Кривоноса провулок                                                      	провулок Кривоноса
Кривця вулиця                                                           	вулиця Кривця
Кривця провулок                                                         	провулок Кривця
Крижанівського вулиця                                                   	вулиця Крижанівського
Крикуненко вулиця                                                       	вулиця Крикуненко
Крилова вулиця                                                          	вулиця Крилова
Крупської вулиця                                                        	вулиця Крупської
Круча вулиця                                                            	вулиця Круча
Крючкова вулиця                                                         	вулиця Крючкова
Кудрі вулиця                                                            	вулиця Кудрі
Кудрявцева вулиця                                                       	вулиця Кудрявцева
Кузенного вулиця                                                        	вулиця Кузенного
Кузнецова вулиця                                                        	вулиця Кузнецова
Кузнєцова вулиця                                                        	вулиця Кузнєцова
Кузьменка вулиця                                                        	вулиця Кузьменка
Кузьменщина вулиця                                                      	вулиця Кузьменщина
Кузьми Дриги провулок                                                   	провулок Кузьми Дриги
Кузьми Краскова вулиця                                                  	вулиця Кузьми Краскова
Куйбишева вулиця                                                        	вулиця Куйбишева
Кулібіна вулиця                                                         	вулиця Кулібіна
Кулібіна провулок                                                       	провулок Кулібіна
Культосвітній провулок;Кульосвітний провулок                            	Культосвітній провулок
Кульчицького вулиця                                                     	вулиця Кульчицького
Куніцького вулиця                                                       	вулиця Куніцького
Купріна вулиця                                                          	вулиця Купріна
Купріянова вулиця ;Куприянова улица                                     	вулиця Купріянова
Кургузова вулиця                                                        	вулиця Кургузова
Куриленка вулиця                                                        	вулиця Куриленка
Курловича вулиця                                                        	вулиця Курловича
Курчатова вулиця                                                        	вулиця Курчатова
Курчатова провулок                                                      	провулок Курчатова
Кутового Володимира вулиця                                              	вулиця Володимира Кутового
Кутузова вулиця                                                         	вулиця Кутузова
Кутузова провулок                                                       	провулок Кутузова
Куценка вулиця                                                          	вулиця Куценка
Кучеренка вулиця                                                        	вулиця Кучеренка
Кiрова вулиця                                                           	вулиця Кірова
Л. Бикова вулиця                                                        	вулиця Л. Бикова
Л. Українки вулиця                                                      	вулиця Л. Українки
Лаврова вулиця                                                          	вулиця Лаврова
Лазо вулиця                                                             	вулиця Лазо
Лантушенка вулиця                                                       	вулиця Лантушенка
Левада вулиця                                                           	вулиця Левада
Левадний провулок                                                       	провулок Левадний
Леваневського вулиця                                                    	вулиця Леваневського
Леваневського провулок                                                  	провулок Леваневського
Левка Лукʼяненка вулиця                                                 	вулиця Левка Лукʼяненка
Левка Симиренка провулок                                                	провулок Левка Симиренка
Левка Сімеренка вулиця                                                  	вулиця Левка Сімеренка
Леглич вулиця                                                           	вулиця Леглич
Лейтенанта Кибенка вулиця                                               	вулиця Лейтенанта Кибенка
Лелеча вулиця                                                           	вулиця Лелеча
Лелiвська вулиця                                                        	Лелівська вулиця
Ленина улица                                                            	вулиця Леніна
Леніна 1-й провулок                                                     	1-й провулок Леніна
Леніна 2-й провулок                                                     	2-й провулок Леніна
Леніна вулиця                                                           	вулиця Леніна
Леніна вулиця ; Ленина улица ;Lenina Street ;Lenin Street               	вулиця Леніна
Леніна вулиця ;Ленина улица ; Lenin Street ; Lenina Street              	вулиця Леніна
Леніна вулиця ;Ленина улица ;Lenin Street ; Lenina Street               	вулиця Леніна
Леніна вулиця;Ленина улица;Lenina Street;Lenin Street                   	вулиця Леніна
Леніна вулиця;Lenina Street                                             	вулиця Леніна
Леніна вулиця;Lenina Street;Lenin Street                                	вулиця Леніна
Леніна площа                                                            	площа Леніна
Леніна провулок                                                         	провулок Леніна
Леніна проспект                                                         	проспект Леніна
Ленківщина вулиця                                                       	вулиця Ленківщина
Ленiна вулиця                                                           	вулиця Леніна
Леоніда Бикова вулиця                                                   	вулиця Леоніда Бикова
Леоніда Бірюкова бульвар                                                	бульвар Леоніда Бірюкова
Леоніда Глібова вулиця                                                  	вулиця Леоніда Глібова
Леоніда Каденюка вулиця                                                 	вулиця Леоніда Каденюка
Леоніда Степаненка вулиця                                               	вулиця Леоніда Степаненка
Леоніда Череватенка вулиця                                              	вулиця Леоніда Череватенка
Лермонтова вулиця                                                       	вулиця Лермонтова
Лермонтова провулок                                                     	провулок Лермонтова
Лесі Україїнки вулиця                                                   	вулиця Лесі Українки
Лесі Українки бульвар                                                   	бульвар Лесі Українки
Лесі Українки вулиця                                                    	вулиця Лесі Українки
Лесі Українки провулок                                                  	провулок Лесі Українки
Леся Курбаса вулиця                                                     	вулиця Леся Курбаса
Лесi Українки вулиця                                                    	вулиця Лесі Українки
Лесi Українки провулок                                                  	провулок Лесі Українки
Лещенка вулиця;Лещенко вулиця                                           	вулиця Лещенка
Лєрмонтова вулиця                                                       	вулиця Лєрмонтова
Лєрмонтова провулок                                                     	провулок Лєрмонтова
Липова алея вулиця                                                      	вулиця Липова Алея
Лисенка вулиця                                                          	вулиця Лисенка
Лисенко вулиця                                                          	вулиця Лисенко
Лізи Чайкіної вулиця                                                    	вулиця Лізи Чайкіної
Лінія А вулиця                                                          	вулиця Лінія А
Лінія Б вулиця                                                          	вулиця Лінія Б
Лінія В вулиця                                                          	вулиця Лінія В
Лінія Г вулиця                                                          	вулиця Лінія Г
Лісова Галявина вулиця                                                  	вулиця Лісова Галявина
Лісова поляна вулиця                                                    	вулиця Лісова Поляна
Лісової Пісні вулиця                                                    	вулиця Лісової Пісні
Ліченка вулиця                                                          	вулиця Ліченка
Лобановського вулиця                                                    	вулиця Лобановського
Логвинівка вулиця                                                       	вулиця Логвинівка
Логінова вулиця                                                         	вулиця Логінова
Лозовик вулиця                                                          	вулиця Лозовик
Ломоносова вулиця                                                       	вулиця Ломоносова
Ломоносова вулиця;ulica Łomonosowa                                      	вулиця Ломоносова
Ломоносова провулок                                                     	провулок Ломоносова
Луб'янська вулиця                                                       	Лубʼянська вулиця
Лукавиця вулиця                                                         	вулиця Лукавиця
Луки вулиця                                                             	вулиця Луки
Луки Долинського вулиця                                                 	вулиця Луки Долинського
Луки Долинського провулок                                               	провулок Луки Долинського
Луначарського вулиця                                                    	вулиця Луначарського
Луценка вулиця                                                          	вулиця Луценка
Льва Толстого вулиця                                                    	вулиця Льва Толстого
Львова вулиця                                                           	вулиця Львова
Льотчика Потапенка вулиця                                               	вулиця Льотчика Потапенка
Любич-1 вулиця                                                          	1-ша вулиця Любич
Любич-2 вулиця                                                          	2-га вулиця Любич
Любич-6 вулиця                                                          	6-та вулиця Любич
Любич-7 вулиця                                                          	7-ма вулиця Любич
Любич-8 вулиця                                                          	8-ма вулиця Любич
Любич-9 вулиця                                                          	9-та вулиця Любич
Любімого вулиця                                                         	вулиця Любімого
Любомира Гузара вулиця                                                  	вулиця Любомира Гузара
Любченка вулиця                                                         	вулиця Любченка
Лiвобережна вулиця                                                      	Лівобережна вулиця
Лiсова вулиця                                                           	Лісова вулиця
м-н "Яблуневий"                                                         	Яблуневий мікрорайон
М. Куліша вулиця                                                        	вулиця М. Куліша
М.Галагана вулиця                                                       	вулиця М. Галагана
М’ясна вулиця                                                           	Мʼясна вулиця
Магдебурзького Права вулиця                                             	вулиця Магдебурзького Права
Магистральная улица                                                     	Магістральна вулиця
Мазепи вулиця                                                           	вулиця Мазепи
Мазепи провулок                                                         	провулок Мазепи
Мазепи проспект                                                         	проспект Мазепи
Майбутнього вулиця                                                      	вулиця Майбутнього
майдан Княжий двір вулиця                                               	вулиця Майдан Княжий Двір
Макаренка вулиця                                                        	вулиця Макаренка
Макійчука провулок                                                      	провулок Макійчука
Макса Гельця вулиця                                                     	вулиця Макса Гельця
Макса Левіна вулиця                                                     	вулиця Макса Левіна
Максима Залізняка вулиця                                                	вулиця Максима Залізняка
Максима Залізняка провулок                                              	провулок Максима Залізняка
Максима Козачини вулиця                                                 	вулиця Максима Козачини
Максима Рильського вулиця                                               	вулиця Максима Рильського
Максима Рильського провулок                                             	провулок Максима Рильського
Максимова вулиця                                                        	вулиця Максимова
Максимовича вулиця                                                      	вулиця Максимовича
Макiйчука провулок                                                      	провулок Макійчука
Малашенка вулиця                                                        	вулиця Малашенка
Малика вулиця                                                           	вулиця Малика
Малиновського вулиця                                                    	вулиця Малиновського
Малишка Андрія вулиця                                                   	вулиця Андрія Малишка
Малишка вулиця                                                          	вулиця Малишка
Мальцева Георгія вулиця                                                 	вулиця Мальцева Георгія
Мар’янівська вулиця                                                     	Марʼянівська вулиця
Маресьєва вулиця                                                        	вулиця Маресьєва
Марії Залевської вулиця                                                 	вулиця Марії Залевської
Марії Крюковської вулиця                                                	вулиця Марії Крюковської
Марії Примаченко вулиця                                                 	вулиця Марії Примаченко
Марії Примаченко другий провулок                                        	2-й провулок Марії Примаченко
Марії Примаченко перший провулок                                        	1-й провулок Марії Примаченко
Марка Вовчка вулиця                                                     	вулиця Марка Вовчка
Марка Гирявця провулок                                                  	провулок Марка Гирявця
Марка Кропивницького вулиця                                             	вулиця Марка Кропивницького
Марка Шляхового вулиця                                                  	вулиця Марка Шляхового
Марко Вовчок вулиця                                                     	вулиця Марко Вовчок
Мартинова проспект                                                      	проспект Мартинова
Марусі Чурай провулок                                                   	провулок Марусі Чурай
Маршала Ворошилова вулиця                                               	вулиця Маршала Ворошилова
Маршала жукова вулиця                                                   	вулиця Маршала Жукова
Масив Новоселів вулиця                                                  	вулиця Масив Новоселів
Маслова вулиця                                                          	вулиця Маслова
Маслова провулок                                                        	провулок Маслова
Матросів провулок                                                       	провулок Матросів
Матросова вулиця                                                        	вулиця Матросова
Матросова провулок                                                      	провулок Матросова
Маяковського вулиця                                                     	вулиця Маяковського
Медиків вулиця                                                          	вулиця Медиків
Межигірського Спаса вулиця                                              	вулиця Межигірського Спаса
Меліораторів вулиця                                                     	вулиця Меліораторів
Мельника вулиця                                                         	вулиця Мельника
Мельниченка вулиця                                                      	вулиця Мельниченка
