700-річчя Перегінська вулиця	вулиця 700-річчя Перегінська
Титаренка вулиця	вулиця Титаренка
Титова вулиця	вулиця Титова
Тихого вулиця	вулиця Тихого
Тичини вулиця	вулиця Тичини
Тіниста вулиця	вулиця Тіниста
Ткачука вулиця	вулиця Ткачука
Тобілевича вулиця	вулиця Тобілевича
Толстого вулиця	вулиця Толстого
Томашівського вулиця	вулиця Томашівського
Томинових вулиця	вулиця Томинових
Топоровського вулиця	вулиця Топоровського
Торговиця вулиця	вулиця Торговиця
Трачів вулиця	вулиця Трачів
Трублаїні вулиця	вулиця Трублаїні
Труша вулиця	вулиця Труша
Трушкевича вулиця	вулиця Трушкевича
Тур’янська вулиця	Турʼянська вулиця
Турковичі вулиця	вулиця Турковичі
Тушкова вулиця	вулиця Тушкова
Тютюнника вулиця	вулиця Тютюнника
Угрина Безгрішного вулиця	вулиця Угрина Безгрішного
Українських Героїв вулиця	вулиця Українських Героїв
Українських Декабристів вулиця	вулиця Українських Декабристів
Української Дивізії вулиця	вулиця Української Дивізії
Української Перемоги вулиця	вулиця Української Перемоги
Уляни Кравченко вулиця	вулиця Уляни Кравченко
УПА вулиця	вулиця УПА
Урочище Береги	урочище Береги
урочище водоканал	урочище Водоканал
Урочище Женець	урочище Женець
Урочище Кам'янка	урочище Камʼянка
Устима Кармелюка вулиця	вулиця Устима Кармелюка
Ушинського вулиця	вулиця Ушинського
Фегонівка вулиця	вулиця Фегонівка
Федика вулиця	вулиця Федика
Федора Достоєвського вулиця	вулиця Федора Достоєвського
Федорченка вулиця	вулиця Федорченка
Федченка вулиця	вулиця Федченка
Федьковича вулиця	вулиця Федьковича
Федяя вулиця	вулиця Федяя
Філатова вулиця	вулиця Філатова
Фільварки вулиця	вулиця Фільварки
Франка вулиця	вулиця Франка
Франка Івана вулиця	вулиця Івана Франка
Францішека Карпіньського вулиця	вулиця Францішека Карпіньського
Фредеріка Шопена вулиця	вулиця Фредеріка Шопена
Хвильового вулиця	вулиця Хвильового
Хіміків вулиця	вулиця Хіміків
Хліборобів вулиця	вулиця Хліборобів
Хмельницького вулиця	вулиця Хмельницького
Хмельова друга вулиця	2-га Хмельова вулиця
Хмельова П’ята вулиця	5-та Хмельова вулиця
Хмельова перша вулиця	1-ша Хмельова вулиця
Хмельова третя вулиця	3-тя Хмельова вулиця
Хмельова четверта вулиця	4-та Хмельова вулиця
Хомишина вулиця	вулиця Хомишина
Хоткевича вулиця	вулиця Хоткевича
Храпливого вулиця	вулиця Храпливого
Царицина вулиця	вулиця Царицина
Цеглинського вулиця	вулиця Цеглинського
Центр вулиця	вулиця Центр
Циганівка вулиця	вулиця Циганівка
Цикалівка вулиця	вулиця Цикалівка
Ципки вулиця	вулиця Ципки
Ціолковського вулиця	вулиця Ціолковського
Чабанівка вулиця	вулиця Чабанівка
Чайки вулиця	вулиця Чайки
Чайковського вулиця	вулиця Чайковського
Чайковського провулок	провулок Чайковського
Чапаєва вулиця	вулиця Чапаєва
Чатового Бурі вулиця	вулиця Чатового Бурі
Челюскінців вулиця	вулиця Челюскінців
Чепаш вулиця	вулиця Чепаш
Черемшини вулиця	вулиця Черемшини
Черепкова вулиця	вулиця Черепкова
Черниша вулиця	вулиця Черниша
Чернишевського вулиця	вулиця Чернишевського
Чертіж вулиця	вулиця Чертіж
Чехова вулиця	вулиця Чехова
Чигри вулиця	вулиця Чигри
Чкалова вулиця	вулиця Чкалова
Чорнобривого вулиця	вулиця Чорнобривого
Чорновола вулиця	вулиця Чорновола
Чорновола провулок	провулок Чорновола
Чорновола проспект	проспект Чорновола
Чотового Бурі вулиця	вулиця Чотового Бурі
Чубинського вулиця	вулиця Чубинського
Чумака вулиця	вулиця Чумака
Чупрея вулиця	вулиця Чупрея
Шандарівка вулиця	вулиця Шандарівка
Шанковських вулиця	вулиця Шанковських
Шарлая вулиця	вулиця Шарлая
Шашкевича вулиця	вулиця Шашкевича
Шевченка Бічна вулиця	бічна вулиця Шевченка
Шевченка вулиця	вулиця Шевченка
Шевченка майдан	майдан Шевченка
Шевченка провулок	провулок Шевченка
Шепаровича вулиця	вулиця Шепаровича
Шептицького вулиця	вулиця Шептицького
Шептицького майдан	майдан Шептицького
Шеремети вулиця	вулиця Шеремети
Шеремети Петра вулиця	вулиця Петра Шеремети
Шеші вулиця	вулиця Шеші
Шкрібляка вулиця	вулиця Шкрібляка
Шкрумеляка вулиця	вулиця Шкрумеляка
Шопена вулиця	вулиця Шопена
Шота Руставелі вулиця	вулиця Шота Руставелі
Шуткова вулиця	вулиця Шуткова
Шухевича вулиця	вулиця Шухевича
Шухевичів вулиця	вулиця Шухевичів
Щорса вулиця	вулиця Щорса
Юліана Панькевича вулиця	вулиця Юліана Панькевича
Юліана Целевича вулиця	вулиця Юліана Целевича
Юлії Бачинської вулиця	вулиця Юлії Бачинської
Юлії Солдак вулиця	вулиця Юлії Солдак
Юлія Олесницького вулиця	вулиця Юлія Олесницького
Юності вулиця	вулиця Юності
Юрія Бундзяка вулиця	вулиця Юрія Бундзяка
Юрія Гагаріна вулиця	вулиця Юрія Гагаріна
Юрія Дрогобича вулиця	вулиця Юрія Дрогобича
Юрія Іллєнка вулиця	вулиця Юрія Іллєнка
Юрія Кибальчича вулиця	вулиця Юрія Кибальчича
Юрія Неміша вулиця	вулиця Юрія Неміша
Юрія Рогатинця вулиця	вулиця Юрія Рогатинця
Юрія Федьковича вулиця	вулиця Юрія Федьковича
Юрія Шкрібляка вулиця	вулиця Юрія Шкрібляка
Юрія Шкрумеляка вулиця	вулиця Юрія Шкрумеляка
Юрківка вулиця	вулиця Юрківка
Юрчишина вулиця	вулиця Юрчишина
Юхвітова вулиця	вулиця Юхвітова
Яворницького вулиця	вулиця Яворницького
Яківчика вулиця	вулиця Яківчика
Якіра вулиця	вулиця Якіра
Якова Головацького вулиця	вулиця Якова Головацького
Якова Оренштайна вулиця	вулиця Якова Оренштайна
Ялинка вулиця	вулиця Ялинка
Яремчука вулиця	вулиця Яремчука
Ярицького вулиця	вулиця Ярицького
Яричевського вулиця	вулиця Яричевського
Ярослава Барнича вулиця	вулиця Ярослава Барнича
Ярослава Веселовського вулиця	вулиця Ярослава Веселовського
Ярослава Винничука вулиця	вулиця Ярослава Винничука
Ярослава Галана вулиця	вулиця Ярослава Галана
Ярослава Карпінця вулиця	вулиця Ярослава Карпінця
Ярослава Косарчина вулиця	вулиця Ярослава Косарчина
Ярослава Лукавецького вулиця	вулиця Ярослава Лукавецького
Ярослава Мартинця вулиця	вулиця Ярослава Мартинця
Ярослава Мудрого вулиця	вулиця Ярослава Мудрого
Ярослава Осмомисла вулиця	вулиця Ярослава Осмомисла
Ярослава Осьмомисла вулиця	вулиця Ярослава Осьмомисла
Ярослава Пстрака вулиця	вулиця Ярослава Пстрака
Ярослава Стецько вулиця	вулиця Ярослава Стецько
Ярослава Фенка вулиця	вулиця Ярослава Фенка
Ярослави Стецько вулиця	вулиця Ярослави Стецько
Яршиця вулиця	вулиця Яршиця
Ясінських вулиця	вулиця Ясінських
Яцишина вулиця	вулиця Яцишина
Яцука вулиця	вулиця Яцука
XXV з'їзду КПРС вулиця	вулиця XXV Зʼїзду КПРС
