Абдалієва вулиця	вулиця Абдалієва
Левкоєва вулиця	вулиця Левкоєва
Левшиних вулиця	вулиця Левшиних
Леглич вулиця	вулиця Леглич
Леініа вулиця	вулиця Леніна
Лейзмана вулиця	вулиця Лейзмана
Лейтенанта Бараха вулиця	вулиця Лейтенанта Бараха
Лейтенанта Верхових вулиця	вулиця Лейтенанта Верхових
Лейтенанта Кібенок вулиця	вулиця Лейтенанта Кібенок
Лейтенанта Пугасія вулиця	вулиця Лейтенанта Пугасія
Лейтенантів вулиця	вулиця Лейтенантів
Лелеча вулиця	вулиця Лелеча
Ленина вулиця	вулиця Леніна
Леніга вулиця	вулиця Леніга
Леніні вулиця	вулиця Леніні
Ленківщина вулиця	вулиця Ленківщина
Ленських Подій вулиця	вулиця Ленських Подій
Лео Мола вулиця	вулиця Лео Мола
Леоні вулиця	вулиця Леоні
Леонтовіча вулиця	вулиця Леонтовіча
Лепішка вулиця	вулиця Лепішка
Леппіка вулиця	вулиця Леппіка
Лепсе вулиця	вулиця Лепсе
Леселідзе вулиця	вулиця Леселідзе
Лесная вулиця	Лісна вулиця
Лехела вулиця	вулиця Лехела
Лецовка вулиця	вулиця Лецовка
Лечин вулиця	вулиця Лечин
Лємєхової вулиця	вулиця Лємєхової
Лип’я вулиця	вулиця Липʼя
Липовиця-І вулиця	1-ша вулиця Липовиця
Листвена вулиця	Листвена вулиця
Литвиненко-Вольгемут вулиця	вулиця Литвиненко-Вольгемут
Литвяк вулиця	вулиця Литвяк
Литовка вулиця	вулиця Литовка
Лицоєва вулиця	вулиця Лицоєва
Лишеня вулиця	вулиця Лишеня
Лівий Гай вулиця	вулиця Лівий Гай
Лідіце вулиця	вулиця Лідіце
Лікаря Дедю вулиця	вулиця Лікаря Дедю
Ліквідаторів ЧАЕС вулиця	вулиця Ліквідаторів ЧАЕС
Лілаакац вулиця	вулиця Лілаакац
Лінія А вулиця	вулиця Лінія А
Лінія Б вулиця	вулиця Лінія Б
Лінія В вулиця	вулиця Лінія В
Лінія Г вулиця	вулиця Лінія Г
Лінія Залізниці вулиця	вулиця Лінія Залізниці
Ліпницької вулиця	вулиця Ліпницької
Лісгосп вулиця	вулиця Лісгосп
Лісництва вулиця	вулиця Лісництва
Лісов вулиця	вулиця Лісов
Лісові вулиця	вулиця Лісові
Лісоводів вулиця	вулиця Лісоводів
Лісок вулиця	вулиця Лісок
Лісорозсадник вулиця	вулиця Лісорозсадник
Лісорубів вулиця	вулиця Лісорубів
Літке вулиця	вулиця Літке
Літкє вулиця	вулиця Літкє
Літня вулиця	вулиця Літня
Лішинських вулиця	вулиця Лішинських
Логаша вулиця	вулиця Логаша
Логозаря вулиця	вулиця Логозаря
Логойдових вулиця	вулиця Логойдових
Лозовик вулиця	вулиця Лозовик
Лозуватка вулиця	вулиця Лозуватка
Ломана вулиця	вулиця Ломана
Ломачина вулиця	вулиця Ломачина
Ломонососа вулиця	вулиця Ломонососа
Лонка вулиця	вулиця Лонка
Лоняї вулиця	вулиця Лоняї
Лосевої вулиця	вулиця Лосевої
Лотошина вулиця	вулиця Лотошина
Лотута вулиця	вулиця Лотута
Луг вулиця	вулиця Луг
Луганка вулиця	вулиця Луганка
Лужок вулиця	вулиця Лужок
Лучиста вулиця	Лучиста вулиця
Любава вулиця	вулиця Любава
Люксембург вулиця	вулиця Люксембург
Лютневої Революції вулиця	вулиця Лютневої Революції
Лялі Убийвовк вулиця	вулиця Лялі Убийвовк
Лялі-Убийвовк вулиця	вулиця Лялі Убийвовк
Лянгуса вулиця	вулиця Лянгуса
Магнолій вулиця	вулиця Магнолій
Магура вулиця	вулиця Магура
Мазана вулиця	вулиця Мазана
Мазая вулиця	вулиця Мазая
Майдан вулиця	вулиця Майдан
Майдан Героїв вулиця	вулиця Майдан Героїв
майдан Княжий двір вулиця	вулиця Майдан Княжий Двір
Майдан УСС вулиця	вулиця Майдан УСС
Майдана вулиця	вулиця Майдана
Майзенберга вулиця	вулиця Майзенберга
Майстерюка вулиця	вулиця Майстерюка
Майстрів вугілля вулиця	вулиця Майстрів Вугілля
Майстрів вулиця	вулиця Майстрів
Макаренщина вулиця	вулиця Макаренщина
Маккош вулиця	вулиця Маккош
Маковщина вулиця	вулиця Маковщина
Макогоніва вулиця	вулиця Макогоніва
Макортет вулиця	вулиця Макортет
Мала Безкупчина вулиця	вулиця Мала Безкупчина
Мала вулиця	Мала вулиця
Мала Нараївка вулиця	вулиця Мала Нараївка
Мала Спринька вулиця	вулиця Мала Спринька
Малаєвої вулиця	вулиця Малаєвої
Мале Передмістя вулиця	вулиця Мале Передмістя
Малий Боуц вулиця	вулиця Малий Боуц
Малий Кінець вулиця	вулиця Малий Кінець
Малий кут вулиця	вулиця Малий Кут
Малий Кут вулиця	вулиця Малий Кут
Малий Куток вулиця	вулиця Малий Куток
Малий Ринок вулиця	вулиця Малий Ринок
Малишко вулиця	вулиця Малишко
Малі Кривчиці вулиця	вулиця Малі Кривчиці
Малі Лісовикі вулиця	вулиця Малі Лісовикі
Малієвських вулиця	вулиця Малієвських
Малом вулиця	вулиця Малом
Мальв вулиця	вулиця Мальв
Мамаївщина вулиця	вулиця Мамаївщина
Мамайсура вулиця	вулиця Мамайсура
Маметової вулиця	вулиця Маметової
Мамкіної вулиця	вулиця Мамкіної
Манжиєва вулиця	вулиця Манжиєва
Манюшка вулиця	вулиця Манюшка
Мар’янка вулиця	вулиця Марʼянка
Марамуреш вулиця	вулиця Марамуреш
Марапульця вулиця	вулиця Марапульця
Маргосюків вулиця	вулиця Маргосюків
Маресьєва вулиця	вулиця Маресьєва
Марінеско вулиця	вулиця Марінеско
Марко Вовчок вулиця	вулиця Марко Вовчок
Маркусів вулиця	вулиця Маркусів
Мартірок вулиця	вулиця Мартірок
Марунька вулиця	вулиця Марунька
Марфіцина вулиця	вулиця Марфіцина
Марципіль вулиця	вулиця Марципіль
Маршала Гречко вулиця	вулиця Маршала Гречко
Маршала Рибалко вулиця	вулиця Маршала Рибалко
Маршала Судця вулиця	вулиця Маршала Судця
Маршала Толубка вулиця	вулиця Маршала Толубка
Масив Новоселів вулиця	вулиця Масив Новоселів
Масив Середній вулиця	вулиця Масив Середній
Мастюка вулиця	вулиця Мастюка
Масюткіних вулиця	вулиця Масюткіних
Матійціва вулиця	вулиця Матійціва
Матлаєва вулиця	вулиця Матлаєва
Матросов вулиця	вулиця Матросов
Матяшівочка вулиця	вулиця Матяшівочка
Мауриція Ґоттлєба вулиця	вулиця Мауриція Ґоттлєба
Маханько вулиця	вулиця Маханько
Махарадзе вулиця	вулиця Махарадзе
Махинько вулиця	вулиця Махинько
Махінової вулиця	вулиця Махінової
Махно вулиця	вулиця Махно
Мацуєва вулиця	вулиця Мацуєва
Мацука вулиця	вулиця Мацука
Маширя вулиця	вулиця Маширя
Маюш вулиця	вулиця Маюш
Маяк вулиця	вулиця Маяк
Маяк Революції вулиця	вулиця Маяк Революції
Маяка вулиця	вулиця Маяка
Мегура вулиця	вулиця Мегура
Медведиця вулиця	вулиця Медведиця
Медвежа вулиця	Медвежа вулиця
Меденція вулиця	вулиця Меденція
Медніка вулиця	вулиця Медніка
Межева-сад вулиця	вулиця Межева-Сад
Межлаука вулиця	вулиця Межлаука
Мезев вулиця	вулиця Мезев
Мезевгомок вулиця	вулиця Мезевгомок
Меліоратів вулиця	вулиця Меліоратів
Меліораторів вулиця	вулиця Меліораторів
Мелітопольських Дивізій вулиця	вулиця Мелітопольських Дивізій
Меля вулиця	вулиця Меля
Менахем-Мендл Шнеєрсона вулиця	вулиця Менахем-Мендл Шнеєрсона
Мендєлєєва вулиця	вулиця Мендєлєєва
Мендуса вулиця	вулиця Мендуса
Менчів вулиця	вулиця Менчів
Менькіної вулиця	вулиця Менькіної
Мересьєва вулиця	вулиця Мересьєва
Мерзляка вулиця	вулиця Мерзляка
Меріме вулиця	вулиця Меріме
Металіста вулиця	вулиця Металіста
Металоконструкцій вулиця	вулиця Металоконструкцій
Металургів вулиця	вулиця Металургів
Метеорологічне вулиця	вулиця Метеорологічне
Мехліса вулиця	вулиця Мехліса
Мигловця вулиця	вулиця Мигловця
Мигуна вулиця	вулиця Мигуна
Мизо вулиця	вулиця Мизо
Микгород вулиця	вулиця Микгород
Микиші вулиця	вулиця Микиші
Миколаєва вулиця	вулиця Миколаєва
Миколаї Божук вулиця	вулиця Миколаї Божук
Миколаїва вулиця	вулиця Миколаїва
Миколаївка вулиця	вулиця Миколаївка
Миколія вулиця	вулиця Миколія
Мила вулиця	Мила вулиця
Милорадовичів вулиця	вулиця Милорадовичів
Миндру вулиця	вулиця Миндру
Мира вулиця	вулиця Мира
Миргородських вулиця	вулиця Миргородських
Миргородських дивізій вулиця	вулиця Миргородських Дивізій
Миру вулиця	вулиця Миру
Миру Вулиця	вулиця Миру
Мистецтв вулиця	вулиця Мистецтв
Митниця вулиця	вулиця Митниця
Митрака вулиця	вулиця Митрака
Михайлевичів вулиця	вулиця Михайлевичів
Михаця вулиця	вулиця Михаця
Мігалі вулиця	вулиця Мігалі
Мігуна вулиця	вулиця Мігуна
Міжріччя вулиця	вулиця Міжріччя
Мізюна вулиця	вулиця Мізюна
Мікеша вулиця	вулиця Мікеша
Міклея вулиця	вулиця Міклея
Мікрорайон вулиця	вулиця Мікрорайон
Мікроцентр вулиця	вулиця Мікроцентр
Міксата вулиця	вулиця Міксата
Мільнера вулиця	вулиця Мільнера
Міляшково вулиця	вулиця Міляшково
Міра вулиця	вулиця Міра
Міста Шалетт вулиця	вулиця Міста Шалетт
Містечко вулиця	вулиця Містечко
Містечок вулиця	вулиця Містечок
Місцевих Рад вулиця	вулиця Місцевих Рад
Місцепрому вулиця	вулиця Місцепрому
Міськдачі вулиця	вулиця Міськдачі
Міхлі вулиця	вулиця Міхлі
Міцкевица вулиця	вулиця Міцкевица
Міцна вулиця	Міцна вулиця
Мічурана вулиця	вулиця Мічурана
Мічурина вулиця	вулиця Мічурина
Могильчака вулиця	вулиця Могильчака
Моїсеєва вулиця	вулиця Моїсеєва
Мокра вулиця	Мокра вулиця
Мокріївка вулиця	вулиця Мокріївка
Мокрушина вулиця	вулиця Мокрушина
Молода Гвардія вулиця	вулиця Молода Гвардія
Молодих Партизан вулиця	вулиця Молодих Партизан
Молодих Патріотів вулиця	вулиця Молодих Патріотів
Молодих Шахтарів вулиця	вулиця Молодих Шахтарів
Молоді вулиця	вулиця Молоді
Молодіжка вулиця	вулиця Молодіжка
Молодої гвардії вулиця	вулиця Молодої Гвардії
Молодої Гвардії вулиця	вулиця Молодої Гвардії
Монастир вулиця	вулиця Монастир
Монастирок вулиця	вулиця Монастирок
Монтана вулиця	вулиця Монтана
Мончака вулиця	вулиця Мончака
Монюшко вулиця	вулиця Монюшко
Мопра вулиця	вулиця Мопра
МОПРа вулиця	вулиця МОПРа
Мора Йокаі вулиця	вулиця Мора Йокаі
Мордар'єва вулиця	вулиця Мордарʼєва
Москва-Донбас вулиця	вулиця Москва-Донбас
Московських студентів вулиця	вулиця Московських Студентів
Мохнюка вулиця	вулиця Мохнюка
Мочир вулиця	вулиця Мочир
Мошляка вулиця	вулиця Мошляка
Мрії вулиця	вулиця Мрії
Мрія вулиця	вулиця Мрія
МТС вулиця	вулиця МТС
Мудрьона вулиця	Мудрьона вулиця
Мукіївка вулиця	вулиця Мукіївка
Мулявка вулиця	вулиця Мулявка
Мурінсона вулиця	вулиця Мурінсона
Мухамадєєва вулиця	вулиця Мухамадєєва
Мухамедієва вулиця	вулиця Мухамедієва
МЮДа вулиця	вулиця МЮДа
Мячина вулиця	вулиця Мячина
На Копані вулиця	вулиця На Копані
На Нивах вулиця	вулиця На Нивах
На Сторожі вулиця	вулиця На Сторожі
На Таборищі вулиця	вулиця На Таборищі
На Чвертях вулиця	вулиця На Чвертях
Набивка вулиця	вулиця Набивка
Навколишня вулиця	Навколишня вулиця
Навої вулиця	вулиця Навої
Нагаївщина вулиця	вулиця Нагаївщина
Нагірних вулиця	вулиця Нагірних
Нагірянка вулиця	вулиця Нагірянка
Наголюка вулиця	вулиця Наголюка
Нагоринка верхня вулиця	вулиця Нагоринка Верхня
Нагоринка вулиця	вулиця Нагоринка
Нагорінка вулиця	вулиця Нагорінка
Нагорянка вулиця	вулиця Нагорянка
Нагрощина вулиця	вулиця Нагрощина
Над Бугом вулиця	вулиця Над Бугом
Над Гуком вулиця	вулиця Над Гуком
Над Джерелом вулиця	вулиця Над Джерелом
Над Липою вулиця	вулиця Над Липою
Над Лугом вулиця	вулиця Над Лугом
Над потоком вулиця	вулиця Над Потоком
Над Потоком вулиця	вулиця Над Потоком
Над Рудкою вулиця	вулиця Над Рудкою
Над ставом вулиця	вулиця Над Ставом
Над Ставом вулиця	вулиця Над Ставом
Над Яром вулиця	вулиця Над Яром
Надбужжя вулиця	вулиця Надбужжя
Надош вулиця	вулиця Надош
Надстав вулиця	вулиця Надстав
Надсяння вулиця	вулиця Надсяння
Надь Ердев вулиця	вулиця Надь Ердев
Надьона вулиця	вулиця Надьона
Надьсер вулиця	вулиця Надьсер
Надьтемете вулиця	вулиця Надьтемете
Надьшамутаг вулиця	вулиця Надьшамутаг
Найкраща вулиця	Найкраща вулиця
Наливайко вулиця	вулиця Наливайко
Нандора Плотені вулиця	вулиця Нандора Плотені
Нараївка вулиця	вулиця Нараївка
Нарбутів вулиця	вулиця Нарбутів
Народів вулиця	вулиця Народів
Народних Депутатів вулиця	вулиця Народних Депутатів
Народовладдя вулиця	вулиця Народовладдя
Нарцисів вулиця	вулиця Нарцисів
Нарціс вулиця	вулиця Нарціс
Наташи Малаєвої вулиця	вулиця Наташи Малаєвої
Нафтомістечко вулиця	вулиця Нафтомістечко
Нації Нескорених вулиця	вулиця Нації Нескорених
Національної Гвардії вулиця	вулиця Національної Гвардії
Наш Шлях вулиця	вулиця Наш Шлях
Невелика вулиця	Невелика вулиця
Невеличка вулиця	Невеличка вулиця
Невідомих Солдат вулиця	вулиця Невідомих Солдат
Неділина вулиця	Неділина вулиця
Недовга вулиця	Недовга вулиця
Недужка вулиця	вулиця Недужка
Нежумирі вулиця	вулиця Нежумирі
Незабудок вулиця	вулиця Незабудок
Незнайка вулиця	вулиця Незнайка
Немо вулиця	вулиця Немо
Немовлят вулиця	вулиця Немовлят
Неофіта Кибалюка вулиця	вулиця Неофіта Кибалюка
Неплюєва вулиця	вулиця Неплюєва
Несвицької вулиця	вулиця Несвицької
Нескорених вулиця	вулиця Нескорених
Нетеча вулиця	вулиця Нетеча
Нефелейч вулиця	вулиця Нефелейч
Неціла вулиця	Неціла вулиця
Нєжданової вулиця	вулиця Нєжданової
Низамі вулиця	вулиця Низамі
Никифоряка вулиця	вулиця Никифоряка
Николаївка вулиця	вулиця Николаївка
Нізамі вулиця	вулиця Нізамі
Нікіфора вулиця	вулиця Нікіфора
Нінелі Бокій вулиця	вулиця Нінелі Бокій
Нірідьсег вулиця	вулиця Нірідьсег
Нічлава вулиця	вулиця Нічлава
Нове життя вулиця	вулиця Нове Життя
Нове Життя вулиця	вулиця Нове Життя
Нове Селище вулиця	вулиця Нове Селище
Нове Село вулиця	вулиця Нове Село
Нове Шосе вулиця	вулиця Нове Шосе
Новобуд вулиця	вулиця Новобуд
Новобудов вулиця	вулиця Новобудов
Новозагородня вулиця	Новозагородня вулиця
Новозелена вулиця	Новозелена вулиця
Нової Конституції вулиця	вулиця Нової Конституції
Новоклубная вулиця	Новоклубная вулиця
Новолелів вулиця	вулиця Новолелів
Новолинника вулиця	вулиця Новолинника
Новомоспіно вулиця	вулиця Новомоспіно
Новопрокладена вулиця	Новопрокладена вулиця
Новопроложена вулиця	Новопроложена вулиця
Новоселиця вулиця	вулиця Новоселиця
Новоселищна вулиця	Новоселищна вулиця
Новоселів вулиця	вулиця Новоселів
Новоселка вулиця	вулиця Новоселка
Новоселов вулиця	вулиця Новоселов
Новосілка вулиця	вулиця Новосілка
Новосілля вулиця	вулиця Новосілля
Новоставці вулиця	вулиця Новоставці
Новостроївка вулиця	вулиця Новостроївка
Новостройка вулиця	вулиця Новостройка
Новосьолов вулиця	вулиця Новосьолов
Новрузалієва вулиця	вулиця Новрузалієва
Нодькез вулиця	вулиця Нодькез
Нодьполой вулиця	вулиця Нодьполой
Номікосових вулиця	вулиця Номікосових
Нони Погуляйло вулиця	вулиця Нони Погуляйло
Нососелів вулиця	вулиця Нососелів
Носса вулиця	вулиця Носса
Нiни Соснiної вулиця	вулиця Ніни Сосніної
Об’єднана вулиця	Обʼєднана вулиця
Об’їжджа вулиця	вулиця Обʼїжджа
Оберлі вулиця	вулиця Оберлі
Обіуха вулиця	вулиця Обіуха
Облазці вулиця	вулиця Облазці
Ободовка вулиця	вулиця Ободовка
Обозище вулиця	вулиця Обозище
Оболонь вулиця	вулиця Оболонь
Оболоня вулиця	вулиця Оболоня
Оборона вулиця	вулиця Оборона
Оборони Києва вулиця	вулиця Оборони Києва
Оборони Ленінграду вулиця	вулиця Оборони Ленінграду
Обрежа вулиця	вулиця Обрежа
Обривиста вулиця	Обривиста вулиця
Обручєва вулиця	вулиця Обручєва
Овочеводів вулиця	вулиця Овочеводів
Овочівництва вулиця	вулиця Овочівництва
Огієвських вулиця	вулиця Огієвських
Огородня вулиця	Огородня вулиця
Огрод вулиця	вулиця Огрод
Одарія вулиця	вулиця Одарія
Одностороння вулиця	Одностороння вулиця
ОДПУ вулиця	вулиця ОДПУ
Озаркевичів вулиця	вулиця Озаркевичів
Оздоровча вулиця	Оздоровча вулиця
Озеленювачів вулиця	вулиця Озеленювачів
Озера Хасан вулиця	вулиця Озера Хасан
Озерце вулиця	вулиця Озерце
Озерянка вулиця	вулиця Озерянка
Окапці вулиця	вулиця Окапці
Окрема вулиця	Окрема вулиця
Окремий Хутір вулиця	вулиця Окремий Хутір
Октября вулиця	вулиця Октября
Октябрят вулиця	вулиця Октябрят
Окунєва вулиця	вулиця Окунєва
Олегове поле вулиця	вулиця Олегове Поле
Олейнюка вулиця	вулиця Олейнюка
Олександрів вулиця	вулиця Олександрів
Олексієва вулиця	вулиця Олексієва
Омнога вулиця	вулиця Омнога
Онопрійка вулиця	вулиця Онопрійка
Онуфрієва вулиця	вулиця Онуфрієва
Онча вулиця	вулиця Онча
Операторів вулиця	вулиця Операторів
Опшар вулиця	вулиця Опшар
Орача вулиця	вулиця Орача
Орбіта вулиця	вулиця Орбіта
Орджоникідзе вулиця	вулиця Орджоникідзе
Орджонікідзе вулиця	вулиця Орджонікідзе
Оришечка вулиця	вулиця Оришечка
Оришечко вулиця	вулиця Оришечко
Орищака вулиця	вулиця Орищака
Орлина вулиця	Орлина вулиця
Орлине гніздо вулиця	вулиця Орлине Гніздо
Орлівскька вулиця	Орлівскька вулиця
Орлятко вулиця	вулиця Орлятко
Орсоглаз вулиця	вулиця Орсоглаз
Осада Червона вулиця	вулиця Осада Червона
Освітня вулиця	Освітня вулиця
Освободітєлєй вулиця	вулиця Освободітєлєй
Оседача вулиця	вулиця Оседача
Оседля вулиця	вулиця Оседля
Оселя вулиця	вулиця Оселя
Осередок вулиця	вулиця Осередок
Осипових вулиця	вулиця Осипових
Осіння вулиця	Осіння вулиця
Осіня вулиця	Осіння вулиця
Основная вулиця	Основная вулиця
Осо вулиця	вулиця Осо
ОСО вулиця	вулиця ОСО
Осоавіахіма вулиця	вулиця Осоавіахіма
Осоавіахіму вулиця	вулиця Осоавіахіму
Осовиця вулиця	вулиця Осовиця
Острів вулиця	вулиця Острів
Островчик вулиця	вулиця Островчик
Остроградських вулиця	вулиця Остроградських
Острозьково вулиця	вулиця Острозьково
Осьмухина вулиця	вулиця Осьмухина
Осьмушин Яр вулиця	вулиця Осьмушин Яр
Отамана Григор’єва вулиця	вулиця Отамана Григорʼєва
Отамана Сітка вулиця	вулиця Отамана Сітка
Отамана Шока вулиця	вулиця Отамана Шока
Откіс вулиця	вулиця Откіс
Отрадная вулиця	Отрадная вулиця
Отрок вулиця	вулиця Отрок
Оттінгера вулиця	вулиця Оттінгера
Отто Гротеваля вулиця	вулиця Отто Гротеваля
Отця Бабина вулиця	вулиця Отця Бабина
Охотьничья вулиця	Охотьничья вулиця
Очеретянка вулиця	вулиця Очеретянка
П'ятигорця вулиця	вулиця Пʼятигорця
П'ятикопа вулиця	вулиця Пʼятикопа
П'ятниці вулиця	вулиця Пʼятниці
П’єра Береговуа вулиця	вулиця Пʼєра Береговуа
П’ятидесятиріччя Жовтня вулиця	вулиця 50-річчя Жовтня
П’ятидесятниць вулиця	вулиця Пʼятидесятниць
П’ятикопа вулиця	вулиця Пʼятикопа
П’ятирічок вулиця	вулиця Пʼятирічок
П’ятисотенниць вулиця	вулиця Пʼятисотенниць
П’ятихатка вулиця	вулиця Пʼятихатка
П’ятої сотні вулиця	вулиця Пʼятої Сотні
Павлюкевичів вулиця	вулиця Павлюкевичів
Паганіні вулиця	вулиця Паганіні
Пажіт вулиця	вулиця Пажіт
Пала Терека вулиця	вулиця Пала Терека
Паланка вулиця	вулиця Паланка
Паліїв Яр вулиця	вулиця Паліїв Яр
Паліїів вулиця	вулиця Паліїів
Пальміро Тольятті вулиця	вулиця Пальміро Тольятті
Пам'яті вулиця	вулиця Памʼяті
Пам’ яті вулиця	вулиця Памʼяті
Пам’яті вулиця	вулиця Памʼяті
Пам’яті Героїв вулиця	вулиця Памʼяті Героїв
Пам’ять Героїв вулиця	вулиця Памʼять Героїв
Панкєєва вулиця	вулиця Панкєєва
Пантазьєва вулиця	вулиця Пантазьєва
Панцерника Потьомкін вулиця	вулиця Панцерника «Потьомкін»
Панянка вулиця	вулиця Панянка
Паоло Фонтані вулиця	вулиця Паоло Фонтані
Папандреу Андреуса вулиця	вулиця Папандреу Андреуса
Папірня вулиця	вулиця Папірня
Паращівця І. вулиця	вулиця І. Паращівця
Паризької комуні вулиця	вулиця Паризької Комуни
Парня вулиця	вулиця Парня
Паровоза вулиця	вулиця Паровоза
Партизан вулиця	вулиця Партизан
Партолих вулиця	вулиця Партолих
Парусовка вулиця	вулиця Парусовка
Парфановичів вулиця	вулиця Парфановичів
Парфентьєва вулиця	вулиця Парфентьєва
Пасіка вулиця	вулиця Пасіка
Пасіонарії вулиця	вулиця Пасіонарії
Пассіонарії вулиця	вулиця Пассіонарії
Пастівник вулиця	вулиця Пастівник
Пастуша вулиця	вулиця Пастуша
Патакі вулиця	вулиця Патакі
Патрієва вулиця	вулиця Патрієва
Патріотів вулиця	вулиця Патріотів
Пахарів Хутір вулиця	вулиця Пахарів Хутір
Пахолі вулиця	вулиця Пахолі
Пацаєва вулиця	вулиця Пацаєва
Пашенної вулиця	вулиця Пашенної
Паши Ангеліної вулиця	вулиця Паши Ангеліної
Паши Ангеліной вулиця	вулиця Паши Ангеліной
Пашинських вулиця	вулиця Пашинських
Пащенкових вулиця	вулиця Пащенкових
Пащиця вулиця	вулиця Пащиця
Пеєвої вулиця	вулиця Пеєвої
Пенежка вулиця	вулиця Пенежка
Пенсіонерів вулиця	вулиця Пенсіонерів
Перевіз вулиця	вулиця Перевіз
Перегорода вулиця	вулиця Перегорода
Передмістя вулиця	вулиця Передмістя
Перекоп вулиця	вулиця Перекоп
Перелета вулиця	вулиця Перелета
Перелісок вулиця	вулиця Перелісок
Перемога вулиця	вулиця Перемога
Перені вулиця	вулиця Перені
Перепечка вулиця	вулиця Перепечка
Перервана вулиця	Перервана вулиця
Пересвіта вулиця	вулиця Пересвіта
Переселення вулиця	вулиця Переселення
Перескок вулиця	вулиця Перескок
Перехід вулиця	вулиця Перехід
Перехрестя вулиця	вулиця Перехрестя
Перля вулиця	вулиця Перля
Перфильєва вулиця	вулиця Перфильєва
Перше Травня вулиця	вулиця 1 Травня
Перших коммунарів вулиця	вулиця Перших Коммунарів
Перших Космонавтів вулиця	вулиця Перших Космонавтів
Першовідкривачів вулиця	вулиця Першовідкривачів
Першотравненва вулиця	вулиця Першотравненва
Песляка вулиця	вулиця Песляка
Петефі вулиця	вулиця Петефі
Печаті вулиця	вулиця Печаті
Печенєг вулиця	вулиця Печенєг
Печера вулиця	вулиця Печера
Печиборща вулиця	вулиця Печиборща
Пешехонових вулиця	вулиця Пешехонових
Пештере вулиця	вулиця Пештере
Питомник вулиця	вулиця Питомник
Пишканя вулиця	вулиця Пишканя
Південенергобуду вулиця	вулиця Південенергобуду
Півколо вулиця	вулиця Півколо
Пігорєва вулиця	вулиця Пігорєва
Під Голоском вулиця	вулиця Під Голоском
Під Горою вулиця	вулиця Під Горою
Під Дубом вулиця	вулиця Під Дубом
Під Марковим Верхом вулиця	вулиця Під Марковим Верхом
Під Митою вулиця	вулиця Під Митою
Під Осовою вулиця	вулиця Під Осовою
Під Тисою вулиця	вулиця Під Тисою
Під Шимінкою вулиця	вулиця Під Шимінкою
Підберег вулиця	вулиця Підберег
Підбір вулиця	вулиця Підбір
Підборці вулиця	вулиця Підборці
Підваговець вулиця	вулиця Підваговець
Підвалля вулиця	вулиця Підвалля
Підвисока вулиця	Підвисока вулиця
Підгай вулиця	вулиця Підгай
Підгір'я вулиця	вулиця Підгірʼя
Підгір’я вулиця	вулиця Підгірʼя
Підгірка вулиця	вулиця Підгірка
Підгірських вулиця	вулиця Підгірських
Підгола вулиця	вулиця Підгола
Підгора вулиця	вулиця Підгора
Підгородня вулиця	Підгородня вулиця
Підгребінь вулиця	вулиця Підгребінь
Підділ вулиця	вулиця Підділ
Піддуб вулиця	вулиця Піддуб
Піддубина вулиця	Піддубина вулиця
Підзамок вулиця	вулиця Підзамок
Підзамче вулиця	вулиця Підзамче
Підкичера вулиця	вулиця Підкичера
Підкопая вулиця	вулиця Підкопая
Підлипа вулиця	вулиця Підлипа
Підлипка вулиця	вулиця Підлипка
Підліс вулиця	вулиця Підліс
Підлісок вулиця	вулиця Підлісок
Підлісом вулиця	вулиця Підлісом
Підлісся вулиця	вулиця Підлісся
Підмагура вулиця	вулиця Підмагура
Підмарика вулиця	вулиця Підмарика
Підметена вулиця	Підметена вулиця
Підмістя вулиця	вулиця Підмістя
Підмосковка вулиця	вулиця Підмосковка
Підпоповець вулиця	вулиця Підпоповець
Підреть вулиця	вулиця Підреть
Підріг вулиця	вулиця Підріг
Підріжжя вулиця	вулиця Підріжжя
Підстанція вулиця	вулиця Підстанція
Підстінка вулиця	вулиця Підстінка
Підстінок вулиця	вулиця Підстінок
Підстригача вулиця	вулиця Підстригача
Підтикана вулиця	Підтикана вулиця
Підцерква вулиця	вулиця Підцерква
Підцурків вулиця	вулиця Підцурків
Підчос вулиця	вулиця Підчос
Підшефна вулиця	Підшефна вулиця
Піззамче вулиця	вулиця Піззамче
Пікассо вулиця	вулиця Пікассо
Пілієва вулиця	вулиця Пілієва
Пілот вулиця	вулиця Пілот
Пілотів вулиця	вулиця Пілотів
Пінтя вулиця	вулиця Пінтя
Піонерів вулиця	вулиця Піонерів
Пісні вулиця	вулиця Пісні
Пісок вулиця	вулиця Пісок
Пісчана вулиця	Пісчана вулиця
Піша вулиця	Піша вулиця
Пішеля вулиця	вулиця Пішеля
Піщана вулиця	Піщана вулиця
Піщанка вулиця	вулиця Піщанка
Плав’юка вулиця	вулиця Плавʼюка
Плависта вулиця	Плависта вулиця
Плаксіївка вулиця	вулиця Плаксіївка
Пламеницьких вулиця	вулиця Пламеницьких
План вулиця	вулиця План
Пласту вулиця	вулиця Пласту
Пластунів вулиця	вулиця Пластунів
Плахоті вулиця	вулиця Плахоті
Плебанія вулиця	вулиця Плебанія
Плевана вулиця	вулиця Плевана
Плесо вулиця	вулиця Плесо
Плетінка вулиця	вулиця Плетінка
Плетянка вулиця	вулиця Плетянка
Плещєєва вулиця	вулиця Плещєєва
Плєсо вулиця	вулиця Плєсо
Плєщєєва вулиця	вулиця Плєщєєва
Плитниця вулиця	вулиця Плитниця
